12
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
1,Tatiana NAVKA / Roman KOSTOMAROV,RUS,0,103.32,51.9,51.42,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,11,12,Ref,Scores of Panel
1,CoSp4,,4.7,False,0.86,2,2,2,2,1,2,2,1,1,1,1,2,,5.56
2,BSTw4,,4.7,False,0.57,2,0,0,1,1,1,1,0,0,1,2,1,,5.27
3,SlLi4,,4.0,False,1.0,2,1,1,2,2,2,2,2,1,2,2,2,,5.0
4,CSeSt4,,7.0,False,1.43,2,2,1,2,1,1,1,0,1,1,1,2,,8.43
5,CuLi4,,4.0,False,1.0,2,2,1,2,2,2,2,2,1,2,2,2,,5.0
6,FSTw4,,4.7,False,0.57,1,1,1,1,1,1,2,1,0,1,1,2,,5.27
7,CCiSt2,,5.3,False,0.14,0,0,-1,1,2,0,0,0,-1,0,0,0,,5.44
8,SeLi4,,5.6,False,0.79,1,1,1,2,2,2,1,2,1,1,2,2,,6.39
9,CuLi3+RoLi3,,4.9,False,0.64,1,1,1,1,1,1,1,1,0,2,2,2,,5.54
,,,44.9,,,,,,,,,,,,,,,,51.9
,Program Components,,,,Factor
,Skating Skills ,,,,1.25,8.75,8.25,7.5,8.75,8.75,8.25,8.5,7.75,7.75,8.75,8.25,8.5,,8.54
,Linking Footwork / Movement ,,,,1.75,8.75,8.5,7.75,8.5,8.5,8.25,8.25,7.75,7.5,8.75,8.0,8.5,,8.46
,Performance ,,,,1.0,8.75,8.5,7.75,8.5,8.5,8.5,8.75,7.75,7.75,8.75,8.25,8.5,,8.57
,Choreography ,,,,1.0,8.5,8.5,8.0,9.0,8.75,8.5,8.75,8.0,7.75,8.75,8.0,9.0,,8.68
,Interpretation / Timing ,,,,1.0,8.75,8.5,8.0,8.75,9.0,8.75,8.5,8.0,7.75,8.75,8.25,8.75,,8.68
,,,,,,,,,,,,,,,,,,,51.42
