12
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
4,Galit CHAIT / Sergei SAKHNOVSKI,ISR,0,57.03,28.74,28.29,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,11,12,Ref,Scores of Panel
1,NtMiSt3+STw4,,7.6,False,1.0,1,1,1,1,1,1,0,1,1,1,1,1,,8.6
2,Sp4,,4.0,False,0.71,1,2,1,2,2,2,1,1,2,1,2,1,,4.71
3,SlLi4,,4.0,False,0.36,0,2,0,0,1,0,2,1,1,2,1,0,,4.36
4,DiSt3,,5.5,False,0.71,1,0,1,1,1,1,1,1,1,0,0,0,,6.21
5,RoLi4,,4.0,False,0.86,2,1,1,2,2,2,2,2,2,1,1,2,,4.86
,,,25.1,,,,,,,,,,,,,,,,28.74
,Program Components,,,,Factor
,Skating Skills ,,,,0.8,7.5,7.5,6.5,7.5,8.0,8.0,7.5,7.75,7.5,7.0,6.5,7.5,,7.32
,Linking Footwork / Movement ,,,,0.8,7.75,7.5,6.5,7.75,7.75,7.75,7.5,7.25,7.25,6.75,6.75,7.25,,7.21
,Performance ,,,,0.6,7.5,7.75,6.5,7.75,8.25,8.0,8.0,7.75,7.5,7.25,7.0,7.5,,7.54
,Choreography ,,,,0.6,7.75,7.5,6.5,8.0,8.25,8.0,7.75,7.75,7.25,7.25,7.0,7.5,,7.5
,Interpretation / Timing ,,,,1.0,7.75,8.25,6.75,8.0,8.0,8.0,8.0,8.0,7.5,7.25,7.25,7.5,,7.64
,,,,,,,,,,,,,,,,,,,28.29
