12
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
2,Stephane LAMBIEL,SUI,0,154.14,77.22,76.92,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,11,12,Ref,Scores of Panel
1,3A,,7.5,False,1.14,1,2,1,0,1,1,1,2,1,1,1,1,,8.64
2,4T+3T,,13.0,False,-1.14,-2,-1,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,,11.86
3,3Lo,,5.0,False,1.0,1,1,1,0,1,1,1,2,1,1,1,1,,6.0
4,2A,,3.3,False,0.71,1,1,0,1,0,-1,1,1,1,0,0,1,,4.01
5,CiSt3,,3.1,False,0.5,1,2,0,0,2,2,1,1,1,1,0,2,,3.6
6,CCoSp3,,3.0,False,0.5,1,1,0,2,1,1,0,1,1,1,1,1,,3.5
7,4T,,9.9,True,-1.43,-1,-1,-1,-2,-1,-1,-2,-2,-1,-2,-1,-1,,8.47
8,3F+3T,,10.5,True,0.57,1,1,0,0,1,0,1,2,0,1,0,1,,11.07
9,3Lz+1T,,7.0,True,-0.71,-1,-1,0,-1,0,0,-1,0,-2,-1,0,-1,,6.29
10,3S,,5.0,True,0.29,0,1,0,0,1,-1,0,1,0,1,0,0,,5.29
11,FCSp1,,1.7,False,0.36,1,1,1,1,1,1,0,1,0,1,0,1,,2.06
12,FSSp3,,2.3,False,0.29,1,0,0,0,2,1,0,1,1,1,0,1,,2.59
13,SlSt1,,1.8,False,-0.6,-2,-2,-2,-3,-2,-1,-2,-2,-2,-2,-2,-2,,1.2
14,CCoSp1,,2.0,False,0.64,2,1,1,0,3,2,1,2,1,1,1,2,,2.64
,,,75.1,,,,,,,,,,,,,,,,77.22
,Program Components,,,,Factor
,Skating Skills ,,,,2.0,7.75,8.25,8.0,7.75,8.25,7.25,8.0,7.75,7.75,7.5,7.5,7.75,,7.71
,Transition / Linking Footwork ,,,,2.0,7.5,8.0,7.75,7.75,8.25,7.0,7.5,7.5,7.75,7.25,7.25,7.5,,7.5
,Performance / Execution ,,,,2.0,7.75,8.5,7.75,7.75,8.5,7.75,7.75,7.75,7.75,7.5,7.5,7.5,,7.71
,Choreography / Composition ,,,,2.0,7.75,8.5,8.0,8.0,8.5,7.75,7.75,7.75,7.75,7.5,7.5,7.75,,7.75
,Interpretation ,,,,2.0,7.5,8.5,7.75,8.0,8.5,8.0,8.0,7.75,7.75,7.5,7.5,7.75,,7.79
,,,,,,,,,,,,,,,,,,,76.92
