12
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
14,Michael NOVALES,PHI,0,74.48,35.76,39.72,1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,11,12,Ref,Scores of Panel
1,3F,,5.5,False,-3.0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,,2.5
2,3S+2Lo,,6.0,False,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,6.0
3,1Lz,,0.6,False,-0.03,0,0,0,-1,0,0,0,0,-1,0,-1,-1,,0.57
4,2Lo,,1.5,False,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,1.5
5,FSSp3,,2.3,False,0.21,0,0,0,0,1,1,0,0,0,1,1,1,,2.51
6,3T+2T,,5.3,False,-1.0,0,-1,-1,-1,-1,-2,-1,-1,-2,-1,-1,-1,,4.3
7,2F,,1.9,True,0.0,0,0,0,0,0,0,0,0,-1,0,0,-1,,1.9
8,3S,,5.0,True,-2.0,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,,3.0
9,2A,,3.6,True,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,3.6
10,SlSt1,,1.8,False,-0.04,-1,0,0,0,0,0,0,-1,0,0,-1,0,,1.76
11,CSSp2,,1.7,False,0.0,1,0,0,0,0,0,0,0,0,0,0,0,,1.7
12,FSSp3,,2.3,False,-0.09,0,-1,-1,0,-1,0,0,0,0,0,0,0,,2.21
13,CiSt1,,1.8,False,-0.09,0,0,0,-1,-1,0,0,-1,0,0,0,0,,1.71
14,CCoSp2,,2.5,False,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,2.5
,,,41.8,,,,,,,,,,,,,,,,35.76
,Program Components,,,,Factor
,Skating Skills ,,,,2.0,4.25,4.5,4.25,4.25,4.25,4.25,4.0,4.25,4.5,4.25,4.0,4.0,,4.18
,Transition / Linking Footwork ,,,,2.0,3.5,3.5,4.0,4.0,4.0,4.25,3.75,3.5,4.25,4.0,3.5,3.5,,3.75
,Performance / Execution ,,,,2.0,4.0,4.5,4.25,4.0,4.0,4.0,4.0,3.75,4.25,4.25,3.75,3.75,,4.0
,Choreography / Composition ,,,,2.0,4.0,4.25,4.25,4.0,3.75,4.0,4.0,3.5,4.25,4.0,3.75,3.75,,3.93
,Interpretation ,,,,2.0,3.75,4.25,4.25,4.0,4.0,3.75,4.25,3.5,4.5,4.0,3.5,4.0,,4.0
,,,,,,,,,,,,,,,,,,,39.72
Deduction,Falls,-1.0
