10
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
8,Mira LEUNG,CAN,0,44.94,24.5,20.44,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,Ref,Scores of Panel
1,3F,,5.5,False,-0.6,0,0,0,-1,-1,0,-1,-1,0,-1,,4.9
2,3Lz+2Lo,,7.5,False,-0.6,0,0,-1,-1,-2,-1,-1,0,-1,0,,6.9
3,LSp3,,1.8,False,0.1,0,1,0,0,0,0,0,1,1,0,,1.9
4,1A,,0.8,False,-0.5,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,,0.3
5,SpSt4,,3.4,False,0.4,0,1,1,0,0,0,1,0,0,-1,,3.8
6,FCSp2,,2.0,False,0.0,0,0,-1,0,0,0,0,0,-1,0,,2.0
7,CiSt1,,1.8,False,0.0,0,0,0,0,0,0,0,0,-1,0,,1.8
8,CCoSp2,,2.5,False,0.4,1,2,1,0,0,1,0,1,1,1,,2.9
,,,25.3,,,,,,,,,,,,,,24.5
,Program Components,,,,Factor
,Skating Skills ,,,,0.8,5.75,5.25,5.0,4.0,5.5,5.5,5.25,5.25,4.5,5.75,,5.35
,Transition / Linking Footwork ,,,,0.8,5.25,4.75,4.5,4.25,5.0,5.0,5.0,5.0,4.5,4.75,,4.9
,Performance / Execution ,,,,0.8,5.5,5.0,4.75,3.75,5.0,4.75,4.75,5.25,5.0,5.75,,4.95
,Choreography / Composition ,,,,0.8,5.5,5.25,4.75,4.5,5.25,5.25,5.0,5.0,4.75,5.5,,5.15
,Interpretation ,,,,0.8,5.25,5.0,4.75,4.0,5.25,5.5,5.0,5.25,4.75,5.75,,5.2
,,,,,,,,,,,,,,,,,20.44
