ISU Grand Prix of Figure Skating Final,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,
Total,Total,,Total,Total
Rank Name NOC Segment,Element,,Program  Component,Deductions
Code Score,Score,,Score (factored),
"=",+,,+,-
1 Stephane LAMBIEL SUI 149.50,76.30,,74.20,1.00
"# Executed Base GOE The Judges Panel",,,,Scores
Elements Value (in random order),,,,of Panel
1 3A 7.5 -3.00 -3 -3 -3 -3 -3,-3 -3 -3,,-3 -3 - -,4.50
2 4T+3T 13.0 -0.20 -1 -1 0 -1 0,0 0 -1,,0 0 - -,12.80
3 3Lo 5.0 0.60 0 0 1 1 0,1 0 0,,1 0 - -,5.60
4 2A 3.3 1.00 1 0 1 1 1,1 1 1,,1 1 - -,4.30
5 CiSt2 2.3 0.20 1 0 0 1 0,1 1 0,,0 1 - -,2.50
6 CCoSp3 3.0 0.30 1 1 0 0 1,1 1 1,,0 0 - -,3.30
7 4T 9.9x 1.20 1 1 1 2 1,1 2 1,,1 1 - -,11.10
8 3F 6.1x -1.60 -2 -2 -1 -1 0,-2 -2 -1,,-2 -1 - -,4.50
9 3Lz+3T 11.0x 0.00 0 0 0 0 0,1 0 0,,0 0 - -,11.00
10 3S+2T 6.4x 0.20 0 0 0 1 0,0 1 0,,0 1 - -,6.60
11 FCSp1 1.7 0.00 0 0 0 0 0,0 0 0,,-1 0 - -,1.70
12 FSSp4 3.0 0.20 1 1 0 0 0,1 1 0,,0 0 - -,3.20
13 SlSt1 1.8 0.50 1 0 1 2 1,1 1 0,,1 0 - -,2.30
14 CCoSp1 2.0 0.90 2 1 2 3 2,2 2 1,,1 2 - -,2.90
76.0,,,,76.30
Program Components Factor,,,,
Skating Skills 2.00 7.50 7.25 7.50 7.25 7.75 7.50,7.50 7.50,,8.00 7.75 - -,7.50
Transition / Linking Footwork 2.00 7.25 7.00 7.50 7.00 7.50 6.75,7.25 7.00,,7.75 7.00 - -,7.25
Performance / Execution 2.00 7.75 7.25 7.50 7.50 7.75 7.00,7.50 7.25,,8.00 7.00 - -,7.50
Choreography / Composition 2.00 7.50 7.25 7.00 7.50 7.75 7.25,7.50 7.50,,8.25 7.25 - -,7.45
Interpretation 2.00 7.25 7.25 7.25 7.25 7.50 7.00,7.75 7.50,,8.00 7.25 - -,7.40
Judges Total Program Component Score (factored),,,,74.20
Deductions: Falls: -1.00,,,,-1.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,
Total,Total,,Total,Total
Rank Name NOC Segment,Element,,Program  Component,Deductions
Code Score,Score,,Score (factored),
"=",+,,+,-
2 Jeffrey BUTTLE CAN 138.34,63.64,,74.70,0.00
"# Executed Base GOE The Judges Panel",,,,Scores
Elements Value (in random order),,,,of Panel
1 3T 4.0 0.40 1 0 1 0 0,1 1 1,,0 1 - -,4.40
2 3A+3T 11.5 -1.00 -1 -1 -1 -2 -1,-1 -1 -1,,-1 -1 - -,10.50
3 3Lz+2T 7.3 0.40 1 0 1 1 0,1 0 1,,0 0 - -,7.70
4 FSSp4 3.0 0.20 1 0 0 1 1,0 1 0,,0 1 - -,3.20
5 CiSt2 2.3 0.30 1 0 1 2 1,1 0 1,,0 1 - -,2.60
6 3A 8.3x -1.80 -2 -2 -1 -2 -1,-2 -2 -2,,-2 -1 - -,6.50
7 3Lo 5.5x -0.80 0 -1 0 -1 0,-1 -1 0,,-1 -1 - -,4.70
8 CoSp4 3.0 0.30 0 1 1 0 1,1 0 1,,0 0 - -,3.30
9 2Lz 2.1x -0.06 0 0 0 0 0,1 -1 0,,-1 0 - -,2.04
10 SSp4 2.4 0.00 1 0 0 0 1,0 0 0,,-1 0 - -,2.40
11 SlSt2 2.3 0.30 1 0 1 1 1,2 0 0,,0 1 - -,2.60
12 3F 6.1x -2.00 -2 -2 -2 -2 -1,-2 -2 -2,,-2 -1 - -,4.10
13 3S+2T 6.4x 0.00 0 0 0 0 0,0 -1 0,,0 0 - -,6.40
14 CCoSp3 3.0 0.20 1 1 0 0 1,1 0 1,,0 0 - -,3.20
67.2,,,,63.64
Program Components Factor,,,,
Skating Skills 2.00 7.25 7.50 7.50 7.50 7.75 7.50,7.50 7.50,,7.50 7.50 - -,7.50
Transition / Linking Footwork 2.00 7.00 7.00 7.50 7.50 7.50 7.50,7.00 7.75,,7.00 7.25 - -,7.30
Performance / Execution 2.00 7.25 7.25 7.75 7.25 7.75 7.25,7.50 8.00,,7.25 7.50 - -,7.40
Choreography / Composition 2.00 7.25 7.50 7.75 7.75 7.75 8.00,7.50 7.75,,7.25 7.75 - -,7.65
Interpretation 2.00 7.50 7.50 7.50 7.50 7.75 7.50,7.50 8.00,,7.50 8.00 - -,7.50
Judges Total Program Component Score (factored),,,,74.70
Deductions:,,,,0.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,
ISU Grand Prix of Figure Skating Final,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,
Total,Total,,Total,Total
Rank Name NOC Segment,Element,,Program  Component,Deductions
Code Score,Score,,Score (factored),
"=",+,,+,-
3 Daisuke TAKAHASHI JPN 137.92,67.82,,71.10,1.00
"# Executed Base GOE The Judges Panel",,,,Scores
Elements Value (in random order),,,,of Panel
1 4T 9.0 -3.00 -3 -3 -3 -3 -3,-3 -3 -3,,-3 -3 - -,6.00
2 3A+2T 8.8 0.00 1 0 0 0 0,0 -1 0,,0 0 - -,8.80
3 3Lz+2T 7.3 -0.40 -1 0 -1 0 0,-1 -1 -1,,0 0 - -,6.90
4 FSSp3 2.3 0.04 1 0 1 -1 0,1 0 0,,-1 0 - -,2.34
5 LSp2 1.5 0.00 0 0 0 0 0,0 0 0,,0 1 - -,1.50
