10
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
10,Anna ZADOROZHNIUK / Sergei VERBILLO,UKR,0,71.3,40.6,30.7,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,Ref,Scores of Panel
1,FSTw4,,4.7,False,0.1,1,1,1,0,0,-1,0,0,1,0,,4.8
2,RoLi4,,4.0,False,0.4,1,1,1,1,1,0,0,1,1,1,,4.4
3,CCiSt2,,5.3,False,0.0,0,0,1,0,0,0,0,0,0,0,,5.3
4,CoSp3,,4.0,False,0.0,1,0,0,0,0,-1,0,0,0,0,,4.0
5,CuLi3,,3.5,False,0.2,0,0,0,0,0,0,0,1,2,1,,3.7
6,BSTw4,,4.7,False,-0.3,0,0,0,-1,0,0,-1,-1,-1,0,,4.4
7,SeLi2,,4.2,False,0.0,1,0,0,0,0,0,0,0,0,-1,,4.2
8,CSeSt1,,4.5,False,0.0,0,0,0,0,0,0,0,0,0,-1,,4.5
9,CuLi3+RoLi4,,5.3,False,0.0,0,-1,0,0,0,1,0,0,0,-1,,5.3
,,,40.2,,,,,,,,,,,,,,40.6
,Program Components,,,,Factor
,Skating Skills ,,,,1.25,5.0,5.25,5.0,5.0,5.0,5.0,4.75,5.0,5.0,5.25,,5.0
,Linking Footwork / Movement ,,,,1.75,5.0,5.0,5.5,5.25,4.75,5.0,4.5,5.0,5.0,4.75,,5.0
,Performance ,,,,1.0,5.25,5.25,5.5,5.25,5.25,5.25,4.75,5.25,5.25,5.5,,5.3
,Choreography ,,,,1.0,5.25,5.5,5.25,5.25,5.0,4.75,4.75,5.0,5.25,5.5,,5.1
,Interpretation / Timing ,,,,1.0,5.5,5.25,5.5,5.5,5.25,5.25,5.0,5.25,5.0,5.5,,5.3
,,,,,,,,,,,,,,,,,30.7
