10
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
2,Albena DENKOVA / Maxim STAVISKI,BUL,0,85.56,44.5,44.06,3.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,Ref,Scores of Panel
1,SlLi4+RoLi4,,5.6,False,0.7,1,2,2,1,1,1,1,0,2,1,,6.3
2,CoSp3,,4.0,False,0.1,2,1,0,0,0,0,0,0,2,1,,4.1
3,CCiSt3,,6.2,False,0.4,2,0,0,1,0,1,1,0,1,0,,6.6
4,BSTw4,,4.7,False,0.2,1,1,-1,0,0,0,1,0,1,0,,4.9
5,CuLi4,,4.0,False,0.5,1,1,1,0,1,1,1,0,1,1,,4.5
6,CSeSt2,,5.3,False,-0.2,0,-1,0,-1,0,0,0,-1,0,0,,5.1
7,FSTw4,,4.7,False,0.0,0,0,0,-1,0,0,1,0,0,-1,,4.7
8,SeLi2,,4.2,False,-0.1,0,-1,0,-1,-1,0,0,0,2,0,,4.1
9,SlLi4,,4.0,False,0.2,2,0,0,1,0,1,0,1,2,1,,4.2
,,,42.7,,,,,,,,,,,,,,44.5
,Program Components,,,,Factor
,Skating Skills ,,,,1.25,8.0,7.25,7.25,6.5,7.5,7.25,7.75,7.25,8.5,7.5,,7.4
,Linking Footwork / Movement ,,,,1.75,7.75,7.25,7.5,6.5,7.0,7.25,7.75,7.0,8.25,7.0,,7.35
,Performance ,,,,1.0,7.5,7.0,7.0,7.0,7.0,7.5,7.0,7.0,8.25,7.5,,7.1
,Choreography ,,,,1.0,7.75,7.5,7.5,6.5,7.0,7.5,7.5,7.25,8.5,7.25,,7.45
,Interpretation / Timing ,,,,1.0,7.75,7.5,7.25,6.75,7.25,7.5,7.5,7.25,8.25,7.75,,7.4
,,,,,,,,,,,,,,,,,44.06
Deduction,Extended lifts,-2.0
Deduction,Falls,-1.0
