10
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
6,Kevin VAN DER PERREN,BEL,0,110.5,53.1,58.4,1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,Ref,Scores of Panel
1,4T,,9.0,False,-2.0,-2,-2,-2,-2,-1,-2,-2,-2,-2,-1,,7.0
2,3A,,7.5,False,-3.0,-3,-3,-3,-3,-3,-3,-2,-3,-3,-3,,4.5
3,3F+3T,,9.5,False,-0.8,0,-1,-1,-1,0,-1,1,-1,0,0,,8.7
4,CiSt1,,1.8,False,0.2,1,1,0,0,0,0,0,1,0,0,,2.0
5,3A+COMBO,,8.3,True,-2.0,-2,-2,-2,-2,-2,-3,-1,-2,-2,-2,,6.3
6,3Lz,,6.6,True,0.2,1,1,0,0,0,0,1,0,0,0,,6.8
7,FCoSp2,,2.1,False,0.0,0,1,0,-1,0,0,0,0,0,0,,2.1
8,3S,,5.0,True,0.6,0,0,1,0,0,1,1,1,1,1,,5.6
9,SSp3,,1.8,False,0.0,0,0,0,0,0,0,0,0,0,0,,1.8
10,2A,,3.6,True,-0.28,0,-1,-1,0,0,0,0,-1,0,0,,3.32
11,CCoSp1,,2.0,False,-0.06,0,-1,0,0,0,0,0,0,0,-1,,1.94
12,SlSt1,,1.8,False,0.0,0,0,0,1,0,0,0,0,0,0,,1.8
13,FSSp2,,2.0,False,-0.76,-3,-3,-2,-2,-3,-3,-3,-2,-3,-2,,1.24
,,,61.0,,,,,,,,,,,,,,53.1
,Program Components,,,,Factor
,Skating Skills ,,,,2.0,6.25,6.25,5.5,5.5,6.25,5.75,5.75,6.25,6.25,6.0,,5.95
,Transition / Linking Footwork ,,,,2.0,6.0,6.0,5.0,5.5,5.75,5.25,5.25,6.0,5.5,5.5,,5.65
,Performance / Execution ,,,,2.0,6.5,6.25,5.0,5.75,6.0,5.75,5.5,6.5,5.75,5.5,,5.95
,Choreography / Composition ,,,,2.0,6.25,6.25,5.5,5.75,6.25,5.5,5.75,6.25,6.0,5.75,,5.9
,Interpretation ,,,,2.0,6.25,6.25,4.75,5.75,6.25,5.25,5.0,6.0,6.0,5.5,,5.75
,,,,,,,,,,,,,,,,,58.4
Deduction,Falls,-1.0
