12
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
12,WING Megan / LOWE Aaron,CAN,0,31.42,16.27,15.15,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,11,12,Ref,Scores of Panel
1,1S1,,1.7,False,0.13,0,0,0,0,0,1,1,1,1,1,0,0,,1.83
2,1S2,,2.2,False,0.21,0,-1,1,1,0,0,0,0,0,1,0,1,,2.41
3,1S3,,2.6,False,-0.07,0,0,0,0,-1,-1,0,0,0,0,0,0,,2.53
4,2S1,,2.5,False,0.3,0,-1,0,1,0,0,1,1,1,1,0,0,,2.8
5,2S2,,3.0,False,0.2,0,-1,0,0,0,0,0,0,0,1,1,1,,3.2
6,2S3,,3.5,False,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,3.5
,,,15.5,,,,,,,,,,,,,,,,16.27
,Program Components,,,,Factor
,Skating Skills  ,,,,0.75,6.25,5.5,6.0,6.25,5.5,6.0,6.5,6.25,6.5,6.0,6.0,6.25,,6.11
,Timing  ,,,,0.75,6.25,5.25,6.0,6.0,5.25,6.0,6.5,6.25,6.5,5.75,5.75,6.0,,5.96
,Performance / Execution  ,,,,0.5,6.25,5.25,6.25,6.25,5.5,5.75,6.75,6.25,6.5,6.0,6.25,6.0,,6.11
,Interpretation  ,,,,0.5,6.0,5.5,6.25,6.0,5.5,6.0,6.5,6.25,6.5,6.0,5.75,6.25,,6.07
,,,,,,,,,,,,,,,,,,,15.15
