12
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
2,Fumie SUGURI,JPN,0,119.15,58.86,60.29,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,11,12,Ref,Scores of Panel
1,3Lz+2T,,7.3,False,0.43,1,1,-1,1,1,0,0,1,0,0,0,0,,7.73
2,3F,,5.5,False,1.14,1,1,1,1,2,1,1,2,1,1,2,2,,6.64
3,2S,,1.3,False,0.0,0,0,0,0,0,0,0,0,-1,0,0,0,,1.3
4,CCoSp4,,3.5,False,0.5,1,1,0,1,1,1,1,1,1,1,2,2,,4.0
5,FCSp3,,2.3,False,0.43,1,1,1,1,1,1,1,0,0,0,1,0,,2.73
6,3Lz,,6.6,True,0.29,1,0,0,0,1,0,0,1,0,0,1,0,,6.89
7,3F+2T,,7.5,True,-2.29,-3,-2,-2,-3,-2,-2,-3,-2,-2,-2,-2,-2,,5.21
8,SpSt4,,3.4,False,0.57,1,1,0,1,1,1,0,1,0,0,0,1,,3.97
9,3T,,4.4,True,0.0,1,0,0,0,0,0,0,0,0,0,0,0,,4.4
10,2A+2T,,5.1,True,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,5.1
11,FSSp4,,3.0,False,0.43,1,1,1,0,0,1,1,1,0,0,1,1,,3.43
12,SlSt3,,3.1,False,0.43,2,1,0,1,1,1,1,1,0,0,1,1,,3.53
13,CCoSp3,,3.0,False,0.93,2,2,2,2,2,3,1,2,1,1,2,2,,3.93
,,,56.0,,,,,,,,,,,,,,,,58.86
,Program Components,,,,Factor
,Skating Skills ,,,,1.6,7.75,7.75,7.5,7.75,7.5,8.5,7.75,7.5,7.0,7.5,7.75,8.0,,7.68
,Transition / Linking Footwork ,,,,1.6,7.25,7.5,7.0,7.25,7.5,8.0,7.0,7.0,6.5,7.25,7.5,7.75,,7.25
,Performance / Execution ,,,,1.6,7.5,7.75,7.25,7.5,7.75,8.5,7.5,7.25,7.0,7.75,7.75,7.5,,7.57
,Choreography / Composition ,,,,1.6,7.25,7.75,7.5,7.5,7.5,8.5,7.25,7.75,6.75,7.75,7.75,7.75,,7.61
,Interpretation ,,,,1.6,7.5,7.75,7.25,7.5,7.5,8.5,7.5,7.0,7.0,7.75,7.75,7.75,,7.57
,,,,,,,,,,,,,,,,,,,60.29
