12
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
19,Mari VARTMANN / Florian JUST,GER,0,32.96,17.96,16.0,1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,11,12,Ref,Scores of Panel
1,3T,,4.0,False,-3.0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,,1.0
2,1Tw,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
3,3STh,,4.5,False,-0.8,-1,-1,-2,-1,-1,0,-1,-2,-1,-1,-1,-1,,3.7
4,3Li3,,3.5,False,-0.39,-1,0,-2,-1,-3,0,-1,-1,-2,-1,-1,-2,,3.11
5,FCCoSp1,,2.0,False,-0.6,-3,-2,-2,-2,-2,-1,-2,-2,-2,-1,-2,-2,,1.4
6,SlSt2,,2.3,False,-0.09,0,0,0,-1,0,-1,0,0,-1,-1,-1,0,,2.21
7,FiDs3,,3.2,False,-0.4,0,0,-1,0,-1,0,0,-1,0,0,-1,-1,,2.8
8,PCoSp3,,4.0,False,-0.26,-1,0,-2,-1,-1,-1,0,-1,-1,-1,-1,-1,,3.74
,,,23.5,,,,,,,,,,,,,,,,17.96
,Program Components,,,,Factor
,Skating Skills ,,,,0.8,4.25,4.0,4.0,4.5,5.0,3.75,4.5,4.5,3.75,4.25,4.5,4.25,,4.21
,Transition / Linking Footwork ,,,,0.8,4.25,3.75,3.0,4.25,4.25,3.5,4.0,4.25,3.5,4.0,3.75,4.0,,3.82
,Performance / Execution ,,,,0.8,4.0,4.0,3.75,4.5,4.25,4.0,4.25,4.0,4.0,4.25,4.25,3.5,,4.04
,Choreography / Composition ,,,,0.8,4.25,4.0,3.75,4.5,4.75,4.0,4.5,4.0,4.0,4.25,4.0,3.75,,4.04
,Interpretation ,,,,0.8,4.0,4.0,3.25,4.5,4.25,5.0,4.25,3.75,3.75,4.25,3.5,3.75,,3.89
,,,,,,,,,,,,,,,,,,,16.0
Deduction,Falls,-1.0
