12
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
23,Michele CANTU,MEX,0,29.66,14.6,16.06,1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,11,12,Ref,Scores of Panel
1,3Lo<,,1.5,False,-0.89,-3,-3,-2,-2,-3,-2,-3,-3,-3,-3,-2,0,,0.61
2,2S<+COMBO,,0.4,False,-0.3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,,0.1
3,FCSp1,,1.7,False,-0.04,0,0,0,-1,0,0,0,-1,-1,0,-1,0,,1.66
4,SpSq4,,3.4,False,0.14,0,0,1,0,0,1,-3,0,0,0,0,0,,3.54
5,2A,,3.3,False,-2.1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,,1.2
6,LSp3,,2.4,False,0.0,0,0,0,0,0,1,0,0,-1,0,0,0,,2.4
7,SlSt2,,2.3,False,0.0,0,-2,0,0,0,0,0,0,0,0,0,0,,2.3
8,CCoSp3,,3.0,False,-0.21,-1,-1,-1,-1,-1,0,0,-1,-1,0,-2,-1,,2.79
,,,18.0,,,,,,,,,,,,,,,,14.6
,Program Components,,,,Factor
,Skating Skills ,,,,0.8,4.0,4.5,4.5,4.0,4.25,4.25,3.25,4.0,4.25,4.25,4.75,4.25,,4.25
,Transition / Linking Footwork ,,,,0.8,4.0,4.0,3.75,3.75,3.75,4.0,3.0,3.5,3.75,3.75,3.75,4.0,,3.79
,Performance / Execution ,,,,0.8,4.25,4.75,4.0,3.75,3.75,4.0,3.25,3.75,4.25,4.0,4.0,4.25,,4.0
,Choreography / Composition ,,,,0.8,4.25,4.75,4.0,3.75,4.0,3.75,3.0,4.0,4.0,4.0,4.5,4.5,,4.04
,Interpretation ,,,,0.8,4.25,5.0,4.0,4.0,4.25,4.0,3.25,3.75,4.0,4.0,4.25,4.0,,4.0
,,,,,,,,,,,,,,,,,,,16.06
Deduction,Falls,-1.0
