12
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
9,Chae-Hwa KIM,KOR,0,46.96,27.04,19.92,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,11,12,Ref,Scores of Panel
1,2A,,3.3,False,0.14,1,1,1,-1,0,0,0,0,0,0,0,0,,3.44
2,3T,,4.0,False,-0.29,1,0,0,0,1,0,-1,0,-1,0,-1,-1,,3.71
3,3S+2T,,5.8,False,0.43,1,1,0,0,1,0,0,1,0,1,0,0,,6.23
4,FSSp4,,3.0,False,0.0,-1,0,0,0,0,0,0,0,-1,0,-1,0,,3.0
5,LSp1,,1.5,False,-0.09,0,-1,-2,-1,0,0,0,0,0,0,-1,-1,,1.41
6,SpSq4,,3.4,False,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,3.4
7,SlSt2,,2.3,False,0.14,1,1,1,0,0,0,0,0,0,1,1,0,,2.44
8,CCoSp4,,3.5,False,-0.09,0,-1,-1,0,0,0,0,0,-1,0,0,0,,3.41
,,,26.8,,,,,,,,,,,,,,,,27.04
,Program Components,,,,Factor
,Skating Skills ,,,,0.8,4.75,4.75,5.5,4.75,5.0,4.75,5.5,5.25,5.0,4.5,5.25,4.75,,5.0
,Transition / Linking Footwork ,,,,0.8,4.25,5.25,4.75,4.25,4.75,4.5,5.25,4.75,4.25,4.5,4.25,4.5,,4.71
,Performance / Execution ,,,,0.8,4.5,5.75,5.25,4.75,5.0,5.0,5.5,5.25,4.5,4.75,5.0,4.75,,5.07
,Choreography / Composition ,,,,0.8,4.5,5.5,5.25,4.5,5.0,4.75,5.25,5.0,4.75,4.5,5.25,5.0,,5.0
,Interpretation ,,,,0.8,4.5,6.25,5.5,4.5,5.0,5.0,5.5,5.25,4.25,4.75,5.0,4.75,,5.11
,,,,,,,,,,,,,,,,,,,19.92
