Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Evan LYSACEK,USA,226.27,4,67.04,1,159.23,2007-02-10,fc2007
2,Jeffrey BUTTLE,CAN,223.96,1,77.72,2,146.24,2007-02-10,fc2007
3,Jeremy ABBOTT,USA,203.22,2,74.34,4,128.88,2007-02-10,fc2007
4,Ryan BRADLEY,USA,196.29,3,68.83,5,127.46,2007-02-10,fc2007
5,Christopher MABEE,CAN,188.41,8,58.58,3,129.83,2007-02-10,fc2007
6,Jialiang WU,CHN,184.69,6,63.52,7,121.17,2007-02-10,fc2007
7,Noriyuki KANZAKI,JPN,181.58,7,62.34,8,119.24,2007-02-10,fc2007
8,Kensuke NAKANIWA,JPN,177.03,9,55.34,6,121.69,2007-02-10,fc2007
9,Emanuel SANDHU,CAN,173.67,5,64.98,10,108.69,2007-02-10,fc2007
10,Ming XU,CHN,167.71,10,55.0,9,112.71,2007-02-10,fc2007
11,Zhixue YANG,CHN,154.57,12,52.98,11,101.59,2007-02-10,fc2007
12,Yasuharu NANRI,JPN,153.11,11,54.16,12,98.95,2007-02-10,fc2007
13,Sean CARLOW,AUS,127.08,13,42.69,13,84.39,2007-02-10,fc2007
14,Joel WATSON,NZL,112.04,14,40.56,14,71.48,2007-02-10,fc2007
15,Tristan THODE,NZL,106.61,15,39.1,15,67.51,2007-02-10,fc2007
16,Nicholas FERNANDEZ,AUS,103.43,16,39.07,18,64.36,2007-02-10,fc2007
17,Luis HERNANDEZ,MEX,101.35,19,34.76,16,66.59,2007-02-10,fc2007
18,Mathieu WILSON,NZL,94.59,21,28.44,17,66.15,2007-02-10,fc2007
19,Justin PIETERSEN,RSA,94.12,18,34.89,20,59.23,2007-02-10,fc2007
20,Dean TIMMINS,AUS,93.74,20,31.56,19,62.18,2007-02-10,fc2007
21,Adrian ALVARADO,MEX,91.26,17,35.44,21,55.82,2007-02-10,fc2007
