12
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
8,Marina AGANINA / Artem KNYAZEV,UZB,0,65.33,34.41,32.92,2.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,11,12,Ref,Scores of Panel
1,2A+2T+SEQ,,3.68,False,-1.7,-2,-2,-3,-3,-2,-2,-1,-3,-2,-2,-3,-3,,1.98
2,5ALi1,,5.0,False,-0.09,-1,0,0,-1,0,0,-1,0,-1,0,0,-1,,4.91
3,2ATh,,4.0,False,0.1,0,1,0,0,0,0,0,0,0,0,0,1,,4.1
4,2LzTw2,,3.5,False,-0.26,-1,0,-1,-1,-2,0,-1,-1,-1,-2,0,0,,3.24
5,2F,,1.7,False,0.0,0,0,0,-1,0,0,0,0,0,0,0,0,,1.7
6,BoDs1,,3.0,False,-0.9,-1,0,-2,0,-2,-1,-1,-2,-1,-1,-1,-1,,2.1
7,2LoTh,,3.0,False,-0.04,0,0,0,-1,-1,0,0,0,0,0,-1,0,,2.96
8,SpSq3,,3.1,False,0.0,0,0,0,-1,-1,0,0,0,0,0,0,0,,3.1
9,4Li1,,2.5,False,-0.26,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,,2.24
10,5TLi1,,4.5,False,-0.04,-1,0,1,0,-1,0,0,0,0,0,0,0,,4.46
11,FCCoSp2,,2.5,False,-0.47,-2,-1,0,-2,-1,0,-2,-2,-1,-2,-2,-2,,2.03
12,SlSt1,,1.8,False,-0.21,0,0,0,-1,-1,0,-1,-1,-1,-1,-3,-1,,1.59
13,PCoSp,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
,,,38.28,,,,,,,,,,,,,,,,34.41
,Program Components,,,,Factor
,Skating Skills  ,,,,1.6,4.5,4.25,4.5,4.5,4.25,4.75,4.0,4.0,4.25,4.0,4.5,4.0,,4.25
,Transition / Linking Footwork  ,,,,1.6,4.0,4.25,4.25,4.0,3.75,4.25,3.5,4.0,4.0,3.5,3.75,3.75,,3.93
,Performance / Execution  ,,,,1.6,4.25,4.25,4.25,3.75,4.25,4.5,4.5,4.25,4.25,4.0,4.25,4.0,,4.21
,Choreography / Composition  ,,,,1.6,4.5,4.5,4.5,4.0,4.0,4.25,4.75,3.5,4.0,3.5,4.0,4.25,,4.11
,Interpretation  ,,,,1.6,4.25,4.5,4.5,4.25,3.75,4.25,4.0,3.75,4.25,3.75,4.0,4.0,,4.07
,,,,,,,,,,,,,,,,,,,32.92
Deduction,Falls,-2.0
