10
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
7,Kendra MOYLE / Andy SEITZ,USA,0,46.38,27.02,20.36,1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,Ref,Scores of Panel
1,4Li3,,3.5,False,0.0,0,0,0,1,0,0,0,0,0,0,,3.5
2,2A,,3.3,False,0.0,0,0,0,0,0,0,0,0,0,1,,3.3
3,2LzTw2,,3.5,False,0.0,0,0,0,-1,0,0,0,0,0,1,,3.5
4,3LoTh,,5.0,False,-2.0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,,3.0
5,SpSq4,,3.4,False,0.0,0,0,0,0,0,0,-1,0,0,0,,3.4
6,FCCoSp4,,3.5,False,-0.06,0,0,0,0,0,0,-1,-1,-1,-1,,3.44
7,BoDs1,,3.0,False,0.0,0,0,0,-1,1,1,0,0,0,0,,3.0
8,PCoSp3,,4.0,False,-0.12,0,-1,0,1,0,0,-1,0,-1,0,,3.88
,,,29.2,,,,,,,,,,,,,,27.02
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,5.25,5.25,5.25,5.75,5.25,5.5,5.0,5.25,5.25,5.0,,5.3
,Transition / Linking Footwork  ,,,,0.8,4.75,4.75,4.75,5.75,5.0,4.75,4.75,5.0,4.75,4.75,,4.75
,Performance / Execution  ,,,,0.8,5.0,5.0,5.25,6.0,5.0,5.25,5.0,5.25,5.0,5.0,,5.1
,Choreography / Composition  ,,,,0.8,5.25,5.5,5.25,5.75,5.25,5.0,5.0,5.25,5.25,4.75,,5.25
,Interpretation  ,,,,0.8,4.75,5.25,5.25,6.0,5.5,4.75,5.0,5.0,5.0,5.0,,5.05
,,,,,,,,,,,,,,,,,20.36
Deduction,Falls,-1.0
