Cup of China 2006,,,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
1 Julia SEBESTYEN,HUN,,100.98  48.90,,,52.08,0.00
"# Executed Base GOE",,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 3S+2T+2Lo  7.30  1.00,1 1 1 0,,1 1 1 1,,1,1 - -,8.30
2 3Lz+2T  7.30  1.40,1 1 1 1,,2 2 0 2,,2,2 - -,8.70
3 1Lo  0.50 -0.24,-2 -2 -2 -3,,-3 -2 -3 -2,,-3,-3 - -,0.26
4 FCSp2  2.00  0.40,1 1 1 0,,1 0 1 1,,1,1 - -,2.40
5 SpSq2  2.30  0.00,0 0 0 0,,1 1 0 0,,1,0 - -,2.30
6 2F+2T+SEQ  2.64 x -0.06,0 -2 0 0,,0 0 0 0,,0,-1 - -,2.58
7 LSp3  2.40  0.30,0 0 1 0,,0 1 1 1,,1,0 - -,2.70
8 3Lz  6.60 x  1.20,1 1 1 0,,2 1 1 2,,2,2 - -,7.80
9 2T  1.43 x  0.00,0 0 0 0,,0 0 0 0,,0,0 - -,1.43
10 2A  3.63 x  0.00,0 0 0 0,,1 0 0 0,,1,0 - -,3.63
11 CoSp3  2.50  0.30,1 0 1 0,,0 1 0 1,,1,1 - -,2.80
12 SlSt3  3.10  0.20,0 0 1 1,,1 0 0 0,,1,1 - -,3.30
13 CCoSp2  2.50  0.20,0 0 0 1,,1 1 0 1,,1,0 - -,2.70
44.20,,,,,,,48.90
Program Components Factor,,,,,,,
Skating Skills  1.60,6.75 6.50 7.00 6.75,,7.00 6.75 6.50 6.75,,6.75,7.00 - -,6.75
Transition / Linking Footwork  1.60,6.25 6.25 6.50 4.75,,6.50 6.50 6.00 6.25,,6.50,6.50 - -,6.30
Performance / Execution  1.60,6.75 6.25 6.75 6.00,,6.75 6.75 6.25 6.50,,6.50,6.75 - -,6.50
Choreography / Composition  1.60,6.50 6.25 6.75 6.25,,6.50 6.75 6.50 6.50,,6.75,6.75 - -,6.55
Interpretation  1.60,6.50 6.25 6.50 6.00,,6.75 6.75 6.25 6.50,,6.75,6.75 - -,6.45
Judges Total Program Component Score (factored),,,,,,,52.08
Deductions:,,,,,,,0.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,,
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
2 Yukari NAKANO,JPN,,96.37  45.49,,,50.88,0.00
"# Executed Base GOE",,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 2A+2T  4.60  0.00,1 0 0 0,,0 0 0 0,,1,1 - -,4.60
2 3Lz+2A+SEQ  7.44 -2.20,-3 -3 -3 -2,,-2 -2 -2 -2,,-2,-2 - -,5.24
3 CoSp2  2.10  0.00,0 0 0 0,,0 0 0 0,,0,0 - -,2.10
4 3F<  1.70 -0.36,0 -2 -3 -2,,1 -1 0 -1,,-1,0 - -,1.34
5 3S  4.50  0.00,0 0 0 0,,1 0 0 0,,1,0 - -,4.50
6 FCSp3  2.30  0.60,1 1 1 1,,2 2 1 1,,1,2 - -,2.90
7 2Lo  1.65 x  0.00,0 -1 0 0,,0 0 0 0,,0,0 - -,1.65
8 FSSp2  2.00  0.10,1 0 0 0,,1 1 0 0,,1,1 - -,2.10
9 3S+2T+2Lo  8.03 x  0.00,0 0 0 0,,1 0 1 0,,0,0 - -,8.03
10 CCoSp1  2.00  0.50,1 1 1 1,,1 1 1 2,,1,1 - -,2.50
11 CiSt2  2.30  0.20,0 0 0 1,,1 0 0 1,,0,1 - -,2.50
12 SpSq4  3.40  1.00,1 1 1 1,,1 1 1 1,,1,1 - -,4.40
13 2A  3.63 x  0.00,0 0 0 1,,0 0 0 0,,0,0 - -,3.63
45.65,,,,,,,45.49
Program Components Factor,,,,,,,
Skating Skills  1.60,5.75 6.50 6.00 6.25,,7.00 6.75 6.75 6.50,,6.50,6.75 - -,6.55
