10
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
4,Aki SAWADA,JPN,0,49.98,27.18,22.8,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,Ref,Scores of Panel
1,3Lz+2T,,7.3,False,-0.4,0,-1,-1,1,-1,-1,0,1,-1,1,,6.9
2,3F,,5.5,False,0.2,1,0,-1,0,0,0,1,0,0,1,,5.7
3,FSSp2,,2.0,False,-0.36,-1,-1,-2,0,-1,-1,-1,-2,-1,-1,,1.64
4,SpSq3,,3.1,False,0.1,0,1,0,0,1,0,1,0,0,0,,3.2
5,SlSt1,,1.8,False,0.0,0,0,0,1,0,0,0,0,0,0,,1.8
6,CCoSp1,,2.0,False,-0.06,0,0,-1,0,1,0,0,-1,0,0,,1.94
7,2A,,3.3,False,0.2,0,0,0,1,0,1,1,0,0,0,,3.5
8,LSp3,,2.4,False,0.1,0,0,0,0,1,1,1,0,0,0,,2.5
,,,27.4,,,,,,,,,,,,,,27.18
,Program Components,,,,Factor
,Skating Skills ,,,,0.8,6.25,6.75,5.5,5.75,6.25,6.0,6.0,5.75,4.75,6.25,,5.9
,Transition / Linking Footwork ,,,,0.8,5.0,6.25,5.25,5.25,6.0,5.5,5.75,5.0,4.5,6.0,,5.5
,Performance / Execution ,,,,0.8,5.75,6.75,5.5,5.5,6.25,5.75,6.0,5.5,5.0,6.0,,5.75
,Choreography / Composition ,,,,0.8,6.25,6.5,5.25,5.5,6.0,5.75,5.75,5.25,5.0,6.25,,5.65
,Interpretation ,,,,0.8,6.0,6.5,5.5,5.5,6.25,5.75,6.0,5.0,5.0,6.25,,5.7
,,,,,,,,,,,,,,,,,22.8
