9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
1,Marie-France DUBREUIL / Patrice LAUZON,CAN,0,60.44,29.9,30.54,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,NtMiTw3,,2.8,False,0.2,0,0,1,0,1,1,0,-1,1,,3.0
2,NtMiSt3,,3.8,False,0.8,0,2,2,1,1,2,1,2,2,,4.6
3,SlLi4,,4.0,False,0.9,2,1,2,1,2,2,2,2,2,,4.9
4,Sp4,,4.7,False,0.7,1,2,2,1,2,2,0,2,1,,5.4
5,DiSt3,,6.2,False,0.8,0,1,2,0,1,2,0,0,1,,7.0
6,RoLi4,,4.0,False,1.0,2,2,3,1,2,2,2,1,2,,5.0
,,,25.5,,,,,,,,,,,,,29.9
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,7.5,8.0,8.5,7.75,8.0,8.25,7.75,8.0,8.25,,8.0
,Linking Footwork / Movement  ,,,,0.8,7.25,8.0,8.25,7.5,8.0,7.75,7.25,8.5,8.0,,7.7
,Performance  ,,,,0.6,7.5,8.25,8.5,7.75,8.0,8.25,7.75,8.25,8.25,,8.05
,Choreography  ,,,,0.6,7.75,8.5,8.75,8.0,8.25,8.5,7.75,8.5,8.5,,8.25
,Interpretation / Timing  ,,,,1.0,7.25,8.5,8.5,7.75,8.25,8.5,7.75,8.5,8.5,,8.2
,,,,,,,,,,,,,,,,30.54
