10
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
2,Alban PREAUBERT,FRA,0,140.34,73.64,66.7,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,Ref,Scores of Panel
1,3F+3T,,9.5,False,0.4,1,1,0,0,1,0,0,0,0,1,,9.9
2,3A+2T+2Lo,,10.3,False,0.6,1,0,0,1,1,0,0,1,0,0,,10.9
3,3Lz,,6.0,False,-0.2,-1,1,0,0,1,-1,0,-1,0,1,,5.8
4,3A,,7.5,False,1.0,1,1,0,1,1,0,1,1,1,1,,8.5
5,CUSp4,,3.0,False,-0.12,-1,0,0,-1,0,-1,1,0,0,0,,2.88
6,CiSt2,,2.3,False,0.1,0,1,0,0,2,0,2,1,0,0,,2.4
7,FSSp4,,3.0,False,0.0,0,0,0,0,0,0,0,0,0,0,,3.0
8,3F,,6.05,True,0.0,0,0,0,0,0,0,1,0,0,0,,6.05
9,2A+2T,,5.06,True,0.0,0,1,0,0,0,0,0,0,0,1,,5.06
10,3Lo,,5.5,True,0.6,1,0,0,0,1,0,0,1,0,1,,6.1
11,3S,,4.95,True,0.0,0,0,0,0,0,0,0,0,0,0,,4.95
12,CSSp3,,2.3,False,0.0,0,-1,0,0,0,0,0,-1,0,0,,2.3
13,SlSt2,,2.3,False,0.0,0,1,0,0,1,0,1,0,0,0,,2.3
14,CCoSp4,,3.5,False,0.0,0,0,0,0,0,0,0,0,0,0,,3.5
,,,71.26,,,,,,,,,,,,,,73.64
,Program Components,,,,Factor
,Skating Skills  ,,,,2.0,7.0,7.25,6.25,7.25,6.75,6.25,6.75,6.0,6.5,6.5,,6.6
,Transition / Linking Footwork  ,,,,2.0,7.5,6.75,6.0,6.75,6.75,6.0,6.5,6.0,6.0,5.75,,6.3
,Performance / Execution  ,,,,2.0,7.5,7.5,5.75,7.0,7.25,6.5,6.75,6.5,5.75,6.5,,6.75
,Choreography / Composition  ,,,,2.0,7.25,7.0,6.0,7.25,7.25,6.5,7.0,6.0,6.5,6.25,,6.75
,Interpretation  ,,,,2.0,7.5,7.5,6.0,7.25,7.25,6.75,7.0,6.5,6.75,6.75,,6.95
,,,,,,,,,,,,,,,,,66.7
