9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
11,Mylene LAMOUREUX / Michael MEE,CAN,0,34.75,19.38,15.37,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,NtMiTw1,,2.1,False,-1.12,-2,-2,-3,-3,-2,-3,-2,-2,-2,,0.98
2,NtMiSt2,,3.2,False,-0.8,-1,0,-2,-2,0,-2,-1,-1,-2,,2.4
3,CuLi4,,4.0,False,0.2,1,0,0,1,0,0,0,1,0,,4.2
4,Sp3,,4.0,False,-0.2,-1,0,0,0,-1,-1,0,0,0,,3.8
5,DiSt2,,5.4,False,-1.4,-2,-2,-2,-2,-1,-1,-1,-1,-1,,4.0
6,RoLi4,,4.0,False,0.0,1,1,0,0,0,0,0,0,0,,4.0
,,,22.7,,,,,,,,,,,,,19.38
,Program Components,,,,Factor
,Skating Skills ,,,,0.8,4.25,4.25,4.0,4.25,4.0,4.0,4.5,4.5,4.0,,4.1
,Linking Footwork / Movement ,,,,0.8,3.75,4.25,3.75,4.0,3.75,4.25,4.25,4.25,3.75,,3.9
,Performance ,,,,0.6,3.75,4.5,3.75,4.0,4.0,4.0,4.5,4.25,4.0,,3.95
,Choreography ,,,,0.6,4.0,4.25,4.0,4.75,4.0,4.5,4.5,4.75,3.75,,4.25
,Interpretation / Timing ,,,,1.0,3.5,4.0,4.0,4.5,4.0,4.25,4.5,4.5,3.5,,4.05
,,,,,,,,,,,,,,,,15.37
