10
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
8,Mari VARTMANN / Florian JUST,GER,0,37.32,20.88,17.44,1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,Ref,Scores of Panel
1,2LzTw1,,3.0,False,-0.12,0,0,-1,-1,0,-1,0,-1,-1,-1,,2.88
2,2T,,1.3,False,-0.36,0,0,-2,-2,-2,-1,0,-2,-3,0,,0.94
3,3STh,,4.5,False,-2.0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,,2.5
4,4Li3,,3.5,False,-0.18,-1,0,-1,-1,-1,0,0,0,-1,-1,,3.32
5,FCCoSp4,,3.5,False,-0.24,-1,-1,0,-1,-1,-1,-1,0,-1,-2,,3.26
6,SpSq2,,2.3,False,-0.12,0,0,-1,-1,-1,0,0,0,-1,0,,2.18
7,BoDs1,,3.0,False,-0.7,-2,0,-2,-2,-1,0,0,0,-1,0,,2.3
8,PCoSp2,,3.5,False,0.0,0,0,0,0,0,0,0,-1,0,0,,3.5
,,,24.6,,,,,,,,,,,,,,20.88
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,4.25,4.75,4.5,4.5,5.0,4.25,5.5,4.0,4.5,5.0,,4.6
,Transition / Linking Footwork  ,,,,0.8,4.0,4.5,4.0,4.0,4.5,4.0,5.25,3.75,4.0,4.5,,4.2
,Performance / Execution  ,,,,0.8,4.0,4.75,4.5,4.0,4.5,4.0,5.5,4.0,4.0,5.25,,4.35
,Choreography / Composition  ,,,,0.8,4.25,4.75,4.0,4.5,4.75,4.25,5.5,4.0,4.25,4.5,,4.45
,Interpretation  ,,,,0.8,4.0,4.5,4.0,4.0,4.5,4.0,5.5,4.0,4.0,4.75,,4.2
,,,,,,,,,,,,,,,,,17.44
Deduction,Falls,-1.0
