12
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
24,Olga AKIMOVA / Alexander SHAKALOV,UZB,0,41.43,24.92,16.51,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,11,12,Ref,Scores of Panel
1,NtMiTw4,,3.3,False,-0.14,0,-1,-1,0,0,0,0,0,-1,-1,0,-1,,3.16
2,NtMiSt3,,3.8,False,0.14,1,0,1,1,0,0,0,0,-1,0,0,0,,3.94
3,SlLi4,,4.0,False,0.14,1,0,1,0,1,0,0,0,0,0,0,-1,,4.14
4,CoSp3,,4.0,False,0.14,0,0,-1,1,1,0,1,1,0,0,0,0,,4.14
5,DiSt2,,5.4,False,0.0,0,0,0,0,0,0,0,0,-1,0,0,-1,,5.4
6,RoLi4,,4.0,False,0.14,1,0,0,0,1,0,1,0,-1,0,0,0,,4.14
,,,24.5,,,,,,,,,,,,,,,,24.92
,Program Components,,,,Factor
,Skating Skills ,,,,0.8,5.0,4.25,3.75,4.5,5.0,4.75,4.5,4.75,4.75,4.75,4.0,4.25,,4.46
,Linking Footwork / Movement ,,,,0.8,4.75,4.0,3.75,4.25,4.75,4.5,4.5,4.25,4.5,4.25,3.75,4.0,,4.25
,Performance ,,,,0.6,5.0,4.25,3.75,4.25,5.0,4.5,5.0,4.5,4.5,4.5,4.0,4.0,,4.43
,Choreography ,,,,0.6,4.75,4.25,3.75,4.25,4.75,4.5,4.75,4.75,4.75,4.25,4.0,4.25,,4.39
,Interpretation / Timing ,,,,1.0,4.75,4.0,3.75,4.0,4.5,4.25,4.75,4.5,4.5,4.75,4.25,4.0,,4.25
,,,,,,,,,,,,,,,,,,,16.51
