12
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
17,Anna ZADOROZHNIUK / Sergei VERBILLO,UKR,0,26.92,14.48,12.44,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,11,12,Ref,Scores of Panel
1,1S1,,1.4,False,0.04,0,0,0,0,0,0,0,1,0,0,1,0,,1.44
2,1S2,,1.7,False,-0.17,1,-1,0,0,-1,-1,0,-1,0,-1,0,-1,,1.53
3,2S1,,1.5,False,0.0,1,0,0,0,0,0,0,0,0,0,0,0,,1.5
4,2S2,,2.0,False,-0.29,0,-1,-1,1,-1,0,-1,0,0,-1,1,-1,,1.71
5,3S1,,1.7,False,0.0,1,0,0,0,0,0,0,0,0,0,0,0,,1.7
6,3S2,,2.3,False,-0.26,1,-1,0,0,-1,-1,0,-1,0,0,0,-1,,2.04
7,4S1,,2.2,False,0.0,0,0,0,1,0,-1,0,0,0,0,0,0,,2.2
8,4S2,,2.7,False,-0.34,1,-2,-1,0,-1,-1,-1,-1,0,0,0,-1,,2.36
,,,15.5,,,,,,,,,,,,,,,,14.48
,Program Components,,,,Factor
,Skating Skills  ,,,,0.75,6.25,4.25,5.25,5.0,5.0,4.75,5.0,5.75,5.75,4.75,5.25,4.25,,5.11
,Timing  ,,,,0.75,6.25,3.75,4.5,4.5,4.75,4.25,4.75,5.5,5.5,4.75,5.0,3.25,,4.86
,Performance / Execution  ,,,,0.5,6.5,4.0,4.75,4.75,5.0,4.75,5.0,5.75,5.5,4.5,4.75,4.25,,4.96
,Interpretation  ,,,,0.5,6.25,4.25,5.0,5.0,4.5,4.75,4.75,5.75,5.75,4.75,5.0,4.25,,4.96
,,,,,,,,,,,,,,,,,,,12.44
