12
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
2,Stephane LAMBIEL,SUI,0,160.65,82.49,78.16,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,11,12,Ref,Scores of Panel
1,3A,,7.5,False,0.14,0,0,0,1,0,0,0,0,0,0,0,1,,7.64
2,4T+2T+2T,,11.6,False,0.14,0,0,0,0,1,1,0,0,0,0,1,0,,11.74
3,3Lo,,5.0,False,1.43,1,2,1,1,1,2,1,1,1,2,1,2,,6.43
4,CiSt3,,3.1,False,0.64,1,1,0,1,1,2,1,1,2,1,2,1,,3.74
5,2A,,3.3,False,0.86,1,0,1,1,1,1,1,0,1,1,1,1,,4.16
6,CCoSp4,,3.5,False,0.64,1,1,1,1,1,1,1,1,1,2,2,2,,4.14
7,4T,,9.9,True,-1.86,-2,-2,-2,-2,-2,-2,-2,-2,-1,-3,-2,-1,,8.04
8,3Lz+3T,,11.0,True,0.57,0,0,1,0,1,1,0,0,1,1,1,1,,11.57
9,3S,,4.95,True,0.86,1,1,0,0,1,1,1,0,1,1,1,1,,5.81
10,FSSp4,,3.0,False,0.43,0,0,1,1,1,1,1,0,1,1,1,1,,3.43
11,2F+3T,,6.27,True,-2.0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,-1,-2,,4.27
12,SlSt3,,3.1,False,0.64,1,1,0,2,1,1,1,0,2,1,2,1,,3.74
13,FCoSp3,,2.5,False,0.64,1,1,1,1,1,2,1,0,1,2,2,1,,3.14
14,CCoSp4,,3.5,False,1.14,2,2,3,2,2,3,2,2,3,2,3,2,,4.64
,,,78.22,,,,,,,,,,,,,,,,82.49
,Program Components,,,,Factor
,Skating Skills  ,,,,2.0,8.0,8.0,8.5,7.5,8.25,7.75,7.5,7.25,7.75,8.5,8.25,8.25,,7.86
,Transition / Linking Footwork  ,,,,2.0,7.5,7.75,8.0,7.25,8.0,7.75,7.5,6.75,7.5,7.75,7.75,7.75,,7.61
,Performance / Execution  ,,,,2.0,7.75,8.0,8.75,7.5,8.0,8.25,7.75,7.0,7.75,8.0,8.75,8.0,,7.89
,Choreography / Composition  ,,,,2.0,8.0,7.75,8.5,7.75,8.0,8.0,7.75,7.25,7.5,7.75,8.75,8.0,,7.79
,Interpretation  ,,,,2.0,8.0,8.0,8.5,7.75,8.25,8.25,7.75,7.0,7.75,7.75,8.75,8.25,,7.93
,,,,,,,,,,,,,,,,,,,78.16
