12
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
7,Anna CAPPELLINI / Luca LANOTTE,ITA,0,54.07,30.42,23.65,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,11,12,Ref,Scores of Panel
1,Sp4,,4.7,False,0.43,1,2,1,0,1,1,1,0,1,1,1,0,,5.13
2,CiSt3,,7.2,False,0.57,0,0,1,0,1,1,1,1,1,1,1,0,,7.77
3,NtMiTw4,,3.3,False,0.5,0,1,1,-1,1,1,2,1,2,2,1,0,,3.8
4,NtMiSt4,,4.3,False,0.21,0,0,1,0,0,1,1,1,1,1,1,0,,4.51
5,SlLi4,,4.0,False,0.5,2,1,1,1,1,1,1,2,1,1,1,1,,4.5
6,RoLi4,,4.0,False,0.71,1,0,2,1,1,2,2,1,2,2,1,1,,4.71
,,,27.5,,,,,,,,,,,,,,,,30.42
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,5.75,6.0,6.5,6.0,6.0,6.0,6.25,6.75,6.25,6.25,6.25,6.0,,6.11
,Linking Footwork / Movement  ,,,,0.8,5.5,6.0,6.25,5.75,5.75,6.0,6.25,6.0,6.0,6.25,6.0,5.75,,5.96
,Performance  ,,,,0.6,6.0,6.25,6.5,6.0,6.0,6.25,6.75,6.75,6.75,6.5,6.5,6.0,,6.29
,Choreography  ,,,,0.6,5.75,6.5,6.75,6.0,6.25,6.25,6.5,6.75,6.5,6.25,6.5,6.25,,6.32
,Interpretation / Timing  ,,,,1.0,5.5,6.25,6.75,6.25,6.5,6.75,6.75,6.75,6.5,6.25,6.25,6.5,,6.43
,,,,,,,,,,,,,,,,,,,23.65
