12
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
37,Merovee EPHREM,MON,0,28.34,16.65,13.69,2.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,11,12,Ref,Scores of Panel
1,3T+COMBO,,4.0,False,-3.0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,,1.0
2,3Lo<,,1.5,False,-1.0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,,0.5
3,CCoSp4,,3.5,False,-0.13,0,0,0,0,0,0,-1,-2,0,0,0,-2,,3.37
4,SpSq4,,3.4,False,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,3.4
5,2A,,3.5,False,-0.34,0,0,0,0,-1,0,-1,0,0,-1,-1,-1,,3.16
6,LSp2,,1.8,False,-0.04,0,0,1,0,0,1,0,0,0,-1,-1,-1,,1.76
7,FSSp2,,2.0,False,-0.34,-2,-2,-1,-1,0,-1,-1,-2,0,-1,-1,-1,,1.66
8,SlSt1,,1.8,False,0.0,0,0,0,0,0,0,0,0,0,0,0,-1,,1.8
,,,21.5,,,,,,,,,,,,,,,,16.65
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,2.5,4.25,3.75,3.5,4.0,3.75,3.25,3.25,4.0,4.0,4.0,2.5,,3.54
,Transition / Linking Footwork  ,,,,0.8,2.5,3.75,3.25,3.5,4.0,3.25,2.75,2.5,3.75,3.5,3.75,2.75,,3.21
,Performance / Execution  ,,,,0.8,2.75,3.5,3.5,3.75,3.75,3.75,3.0,2.75,4.0,3.75,4.0,2.75,,3.36
,Choreography / Composition  ,,,,0.8,3.0,3.5,4.0,4.0,4.0,3.5,3.0,3.0,4.25,3.75,3.75,4.25,,3.57
,Interpretation  ,,,,0.8,3.0,3.75,4.25,3.75,3.75,3.75,2.75,3.0,4.0,3.75,3.5,3.25,,3.43
,,,,,,,,,,,,,,,,,,,13.69
Deduction,Falls,-2.0
