12
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
18,Alexandr KAZAKOV,BLR,0,100.82,57.12,44.7,1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,11,12,Ref,Scores of Panel
1,3Lz,,6.0,False,0.29,0,0,0,0,0,0,0,0,1,0,1,1,,6.29
2,3A,,7.5,False,-3.0,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,,4.5
3,3F,e,5.5,False,-1.29,-2,-2,-2,0,-1,-1,-1,-2,-1,-2,-1,-3,,4.21
4,3Lz+2T,,7.3,False,0.0,0,0,0,0,0,1,0,0,0,0,0,-1,,7.3
5,CoSp4,,3.0,False,0.07,0,0,0,1,0,1,0,0,0,0,0,0,,3.07
6,3S+2T,,5.8,False,0.0,0,0,0,0,0,1,0,0,0,0,0,0,,5.8
7,FSSp3,,2.3,False,0.0,1,0,0,0,0,1,0,0,0,0,0,0,,2.3
8,3Lo,,5.0,False,-0.14,0,-1,0,0,0,0,-1,0,0,0,0,0,,4.86
9,CiSt2,,2.3,False,0.0,0,-1,0,0,0,0,0,0,0,0,0,0,,2.3
10,3S,,4.95,True,0.43,0,1,0,1,0,1,0,1,0,1,0,0,,5.38
11,CSSp4,,3.0,False,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,3.0
12,SlSt2,,2.3,False,-0.04,0,-1,-1,0,0,0,-1,0,0,0,0,0,,2.26
13,2A,,3.85,True,0.0,0,0,0,0,0,1,0,0,0,0,0,0,,3.85
14,CCoSp1,,2.0,False,0.0,0,-1,0,0,0,0,0,0,0,0,0,0,,2.0
,,,60.8,,,,,,,,,,,,,,,,57.12
,Program Components,,,,Factor
,Skating Skills  ,,,,2.0,5.25,4.0,4.25,7.0,4.5,4.75,5.0,5.5,4.25,5.0,5.25,5.0,,4.82
,Transition / Linking Footwork  ,,,,2.0,5.0,3.5,3.5,6.75,3.75,4.0,4.5,4.5,4.0,4.25,4.5,4.5,,4.21
,Performance / Execution  ,,,,2.0,5.0,4.0,3.75,6.5,4.0,4.25,4.5,5.0,4.5,4.5,4.75,5.0,,4.5
,Choreography / Composition  ,,,,2.0,5.25,3.5,4.0,6.5,4.0,4.25,4.25,4.75,4.25,4.25,5.0,4.75,,4.39
,Interpretation  ,,,,2.0,5.0,3.25,3.75,5.25,4.25,4.0,4.25,4.75,4.5,4.5,4.5,5.0,,4.43
,,,,,,,,,,,,,,,,,,,44.7
Deduction,Falls,-1.0
