12
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
12,Ekaterina SOSINOVA / Fedor SOKOLOV,ISR,0,38.06,22.32,16.74,1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,11,12,Ref,Scores of Panel
1,3STh,,4.5,False,-2.0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,,2.5
2,3LzTw1,,5.0,False,-0.4,-1,0,0,-1,-1,0,-1,0,-1,-1,-1,0,,4.6
3,2S,,1.3,False,-0.6,-2,-2,-2,-2,-2,-2,-2,-3,-2,-2,-2,-2,,0.7
4,5TLi3,,5.5,False,0.0,0,0,1,0,1,-1,0,0,0,0,0,0,,5.5
5,CCoSp1,,2.0,False,-0.17,-2,-1,-2,-1,-1,0,-1,-1,0,0,0,0,,1.83
6,SeSt1,,1.8,False,0.0,-1,0,0,0,0,0,0,0,0,0,0,0,,1.8
7,BiDs1,,2.8,False,-0.2,-1,-1,0,0,0,-1,0,0,0,0,0,0,,2.6
8,PCoSp1,,3.0,False,-0.21,-1,-1,-1,-1,0,0,-1,-2,-1,-1,0,0,,2.79
,,,25.9,,,,,,,,,,,,,,,,22.32
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,4.75,4.0,5.75,4.5,5.0,4.75,4.25,4.75,4.75,5.0,4.25,4.25,,4.5
,Transition / Linking Footwork  ,,,,0.8,4.25,3.5,5.25,4.0,4.25,4.5,4.0,4.25,4.0,4.25,4.0,3.75,,4.04
,Performance / Execution  ,,,,0.8,4.5,3.75,5.5,4.25,4.5,4.5,4.0,4.25,5.0,4.25,3.75,3.0,,4.14
,Choreography / Composition  ,,,,0.8,4.5,4.0,5.5,4.0,4.75,4.75,4.5,4.0,4.25,4.75,4.0,4.0,,4.18
,Interpretation  ,,,,0.8,4.25,4.0,5.25,4.25,4.75,4.5,4.25,4.0,4.0,4.25,3.75,3.25,,4.07
,,,,,,,,,,,,,,,,,,,16.74
Deduction,Falls,-1.0
