12
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
9,Xintong HUANG / Xun ZHENG,CHN,0,25.22,13.93,11.29,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,11,12,Ref,Scores of Panel
1,1S1,,2.3,False,0.0,0,0,0,0,0,0,0,0,1,-1,0,0,,2.3
2,1S2,,2.8,False,-0.14,-1,-1,0,-1,-1,0,0,0,0,0,1,0,,2.66
3,1S3,,1.6,False,0.07,1,0,0,1,0,0,0,0,0,0,1,0,,1.67
4,2S1,,2.8,False,0.0,0,0,0,-1,0,0,0,0,0,-1,0,1,,2.8
5,2S2,,3.5,False,-0.6,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,,2.9
6,2S3,,2.0,False,-0.4,0,-1,0,0,-1,0,0,-1,-1,0,0,-1,,1.6
,,,15.0,,,,,,,,,,,,,,,,13.93
,Program Components,,,,Factor
,Skating Skills  ,,,,0.75,4.75,4.5,4.5,4.75,4.5,5.25,4.75,5.25,3.75,5.0,4.75,4.75,,4.71
,Timing  ,,,,0.75,4.5,3.5,4.0,4.25,4.25,5.0,4.75,5.0,3.75,4.5,4.5,4.25,,4.29
,Performance / Execution  ,,,,0.5,5.25,4.25,4.25,4.5,4.5,5.25,5.0,5.25,3.25,4.75,4.75,4.5,,4.57
,Interpretation  ,,,,0.5,5.0,4.0,4.0,4.5,4.5,5.25,5.0,5.25,4.25,4.5,4.75,4.25,,4.5
,,,,,,,,,,,,,,,,,,,11.29
