12
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
17,Ana Cecilia CANTU,MEX,0,37.1,20.93,17.17,1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,11,12,Ref,Scores of Panel
1,3Lz+COMBO,,6.0,False,-3.0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,,3.0
2,3F<,e,1.7,False,-1.0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,,0.7
3,FSSp4,,3.0,False,-0.04,0,0,0,0,-1,0,0,0,1,0,0,-1,,2.96
4,SpSq4,,3.4,False,0.0,0,1,0,0,0,0,0,0,0,0,0,0,,3.4
5,2A,,3.5,False,-0.46,0,0,0,0,-1,-1,-1,0,0,0,-1,-1,,3.04
6,SlSt3,,3.1,False,-0.2,-1,0,-1,0,0,0,0,0,0,0,-1,-1,,2.9
7,LSp2,,1.8,False,0.07,0,0,0,0,0,0,1,0,0,0,1,0,,1.87
8,CCoSp3,,3.0,False,0.06,1,0,0,-2,0,-1,-1,1,1,0,-1,1,,3.06
,,,25.5,,,,,,,,,,,,,,,,20.93
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,4.0,4.5,4.25,3.5,4.25,4.0,5.5,4.5,5.0,5.0,3.25,4.0,,4.43
,Transition / Linking Footwork  ,,,,0.8,3.0,4.0,3.75,3.5,4.0,3.0,4.75,4.25,4.75,4.5,2.5,3.75,,4.0
,Performance / Execution  ,,,,0.8,4.0,4.5,4.75,3.5,4.5,3.5,5.0,4.25,4.25,5.0,3.25,3.75,,4.29
,Choreography / Composition  ,,,,0.8,3.0,4.5,4.0,3.75,4.25,3.25,5.0,4.5,5.25,4.75,3.25,4.5,,4.32
,Interpretation  ,,,,0.8,3.25,4.75,4.0,3.75,4.25,3.5,4.75,4.75,5.0,4.75,4.25,4.25,,4.43
,,,,,,,,,,,,,,,,,,,17.17
Deduction,Falls,-1.0
