12
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
21,Robert MCNAMARA,AUS,0,32.42,13.89,18.53,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,11,12,Ref,Scores of Panel
1,2Lz,,1.9,False,-1.0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,,0.9
2,3F+COMBO,,5.5,False,-2.86,-3,-2,-3,-3,-2,-3,-2,-3,-2,-3,-3,-3,,2.64
3,FSSp1,,1.7,False,-0.04,0,-1,0,0,0,-1,0,0,0,0,0,0,,1.66
4,1A,,0.8,False,-0.5,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,,0.3
5,SlSt2,,2.3,False,0.0,-1,0,0,0,0,0,0,0,0,0,0,0,,2.3
6,CSSp2,,2.0,False,-0.17,-1,-1,0,0,0,-1,0,-1,-1,-1,0,0,,1.83
7,CiSt1,,1.8,False,-0.04,0,0,0,-1,0,0,-1,0,0,-1,0,0,,1.76
8,CCoSp2,,2.5,False,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,2.5
,,,18.5,,,,,,,,,,,,,,,,13.89
,Program Components,,,,Factor
,Skating Skills  ,,,,1.0,4.0,3.25,3.5,4.75,3.5,3.5,3.75,3.5,3.75,4.25,3.75,4.0,,3.75
,Transition / Linking Footwork  ,,,,1.0,3.5,3.25,3.0,4.5,3.25,3.25,3.5,3.25,3.5,4.0,4.0,3.75,,3.46
,Performance / Execution  ,,,,1.0,3.75,3.0,3.5,4.5,3.5,3.75,3.5,3.5,3.75,4.25,4.0,3.75,,3.71
,Choreography / Composition  ,,,,1.0,3.75,3.5,3.5,5.25,3.75,3.5,3.5,3.5,3.75,4.5,4.0,4.0,,3.79
,Interpretation  ,,,,1.0,4.0,3.75,3.5,5.0,3.5,3.5,3.5,3.25,3.5,4.5,3.75,4.0,,3.82
,,,,,,,,,,,,,,,,,,,18.53
