10
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
7,Nelli ZHIGANSHINA / Alexander GAZSI,GER,0,46.58,27.9,18.68,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,Ref,Scores of Panel
1,NtMiTw3,,2.8,False,-0.5,-1,0,-1,-1,-1,-1,-1,-2,0,-1,,2.3
2,NtMiSt4,,4.3,False,-0.1,1,1,0,-1,0,0,0,1,-1,0,,4.2
3,CoSp4,,4.7,False,0.5,1,1,1,1,1,1,-1,1,1,1,,5.2
4,SlLi3,,3.5,False,0.5,1,1,0,1,1,0,1,1,1,1,,4.0
5,SeSt4,,8.0,False,0.2,1,0,0,1,1,0,-1,0,-1,0,,8.2
6,RoLi4,,4.0,False,0.0,0,0,1,0,1,0,0,0,0,-1,,4.0
,,,27.3,,,,,,,,,,,,,,27.9
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,5.25,5.5,4.75,5.0,5.0,4.75,4.75,5.25,5.25,5.5,,5.05
,Linking Footwork / Movement  ,,,,0.8,5.5,5.25,4.75,5.25,4.75,4.25,4.5,5.5,3.75,4.5,,4.65
,Performance  ,,,,0.6,5.75,5.75,4.5,5.25,5.0,5.0,4.5,5.5,5.5,5.5,,5.25
,Choreography  ,,,,0.6,5.5,5.75,5.0,5.5,5.0,4.75,4.75,5.0,4.25,4.75,,4.95
,Interpretation / Timing  ,,,,1.0,6.0,5.75,4.75,5.25,5.25,4.0,5.0,5.5,4.0,4.5,,4.8
,,,,,,,,,,,,,,,,,18.68
