10
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
8,Zoe BLANC / Pierre-Loup BOUQUET,FRA,0,24.79,13.48,11.31,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,Ref,Scores of Panel
1,1S1,,1.8,False,0.0,-1,0,0,0,0,0,1,-1,0,0,,1.8
2,1S2,,2.6,False,-0.2,0,-1,0,0,0,-1,0,-1,0,0,,2.4
3,1S3,,1.8,False,-0.2,0,0,0,-1,0,0,0,-1,-1,0,,1.6
4,2S1,,2.6,False,-0.28,-1,-1,0,0,0,-1,1,0,-1,0,,2.32
5,2S2,,3.6,False,-0.28,0,-1,0,-1,0,-1,0,0,0,1,,3.32
6,2S3,,2.6,False,-0.56,-1,-1,0,0,-1,-1,0,-1,-1,-1,,2.04
,,,15.0,,,,,,,,,,,,,,13.48
,Program Components,,,,Factor
,Skating Skills  ,,,,0.75,5.0,4.5,5.0,5.0,4.75,4.25,4.75,4.25,4.5,5.0,,4.6
,Timing  ,,,,0.75,4.25,4.0,4.75,5.25,4.5,4.25,4.5,4.0,3.5,4.75,,4.3
,Performance / Execution  ,,,,0.5,4.5,4.5,4.75,5.25,5.0,4.5,5.0,4.25,4.25,4.75,,4.6
,Interpretation  ,,,,0.5,4.75,4.75,5.0,5.5,4.75,4.5,5.0,4.25,3.75,5.0,,4.65
,,,,,,,,,,,,,,,,,11.31
