10
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
8,Dan FANG,CHN,0,45.88,26.36,19.52,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,Ref,Scores of Panel
1,2A,,3.5,False,0.0,0,1,0,0,0,0,0,0,0,0,,3.5
2,3Lz+2T,,7.3,False,-1.0,-2,-1,-1,-2,-2,-1,-2,-1,-1,-1,,6.3
3,3S,,4.5,False,0.4,0,1,1,1,0,0,0,1,0,0,,4.9
4,SpSq4,,3.4,False,1.0,0,1,1,0,1,1,0,1,1,0,,4.4
5,FSSp1,,1.7,False,-0.12,0,-1,-1,-2,-1,0,0,0,0,0,,1.58
6,LSp1,,1.5,False,0.0,0,0,0,0,-1,0,0,0,0,0,,1.5
7,SlSt2,,2.3,False,0.0,0,0,0,0,0,0,0,0,0,0,,2.3
8,CCoSp1,,2.0,False,-0.12,0,-1,0,-2,-1,0,0,0,-1,0,,1.88
,,,26.2,,,,,,,,,,,,,,26.36
,Program Components,,,,Factor
,Skating Skills ,,,,0.8,5.25,4.75,5.75,4.5,4.75,5.25,5.25,5.0,5.0,5.0,,5.0
,Transition / Linking Footwork ,,,,0.8,4.75,4.25,5.5,4.25,4.5,5.0,4.75,4.5,4.5,5.0,,4.7
,Performance / Execution ,,,,0.8,5.0,4.75,5.5,4.0,4.75,5.0,5.0,4.5,5.25,5.0,,4.95
,Choreography / Composition ,,,,0.8,5.0,4.5,5.5,4.5,4.75,5.0,5.0,4.5,5.0,4.75,,4.8
,Interpretation ,,,,0.8,5.25,4.25,5.25,4.5,4.75,5.25,4.75,4.75,5.25,4.75,,4.95
,,,,,,,,,,,,,,,,,19.52
