10
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
1,Aliona SAVCHENKO / Robin SZOLKOWY,GER,0,127.09,62.17,65.92,1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,Ref,Scores of Panel
1,3FTh,,5.5,False,1.4,2,2,2,2,2,2,2,2,3,2,,6.9
2,3T+2T+SEQ,,4.24,False,-0.4,-1,1,-1,1,0,1,0,-1,-1,-2,,3.84
3,3LzTw2,,5.5,False,0.0,-1,1,-1,-1,1,0,1,0,0,0,,5.5
4,5TLi4,,6.0,False,0.6,1,1,1,1,1,2,1,1,2,1,,6.6
5,2S,,1.3,False,-0.54,-2,-1,-2,-3,-2,-1,-3,-2,-2,-3,,0.76
6,FCCoSp4,,3.5,False,-0.06,0,-1,0,-1,0,0,0,0,0,-1,,3.44
7,PCoSp4,,4.5,False,0.4,1,0,1,1,0,1,1,1,1,1,,4.9
8,SpSq4,,3.4,False,1.4,2,0,1,0,2,1,1,2,1,2,,4.8
9,5ALi4,,6.5,False,1.6,1,1,2,1,2,1,2,1,2,2,,8.1
10,BoDs1,,3.0,False,0.42,0,1,0,0,1,0,0,2,1,1,,3.42
11,SlSt3,,3.1,False,0.6,2,1,2,1,1,1,1,2,1,1,,3.7
12,3Li4,,4.0,False,0.7,2,1,1,2,2,1,2,1,2,1,,4.7
13,3STh,,4.95,True,0.56,1,0,0,1,1,2,2,1,2,0,,5.51
,,,55.49,,,,,,,,,,,,,,62.17
,Program Components,,,,Factor
,Skating Skills  ,,,,1.6,8.25,8.0,8.0,7.75,8.5,8.5,8.0,8.0,8.5,8.25,,8.3
,Transition / Linking Footwork  ,,,,1.6,7.5,7.75,7.75,7.5,8.75,8.0,7.75,8.0,8.0,8.25,,7.95
,Performance / Execution  ,,,,1.6,8.0,8.0,8.0,8.0,8.5,8.5,8.0,8.25,8.25,8.0,,8.15
,Choreography / Composition  ,,,,1.6,8.0,8.25,8.0,7.75,8.75,8.25,7.75,8.5,9.0,8.25,,8.3
,Interpretation  ,,,,1.6,8.25,8.25,7.75,8.0,8.75,8.75,7.5,8.5,8.5,8.75,,8.5
,,,,,,,,,,,,,,,,,65.92
Deduction,Time violation,-1.0
