10
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
12,Chengjiang LI,CHN,0,99.21,48.31,51.9,1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,Ref,Scores of Panel
1,4T,,9.0,False,-3.0,-3,-3,-2,-3,-3,-3,-3,-3,-2,-3,,6.0
2,3A+3T,,11.5,False,0.8,1,1,1,0,1,0,1,1,0,2,,12.3
3,3Lz,,6.0,False,-1.0,-1,-1,0,-1,-1,-1,-1,-1,0,1,,5.0
4,FSSp3,,2.3,False,0.0,0,0,0,0,0,-1,0,0,0,1,,2.3
5,3T+1T+SEQ,,3.52,False,-2.0,-2,-2,-2,-3,-2,-2,-2,-2,-2,-1,,1.52
6,CiSt2,,2.3,False,0.0,0,0,-1,0,0,-1,0,0,0,0,,2.3
7,3Lo+2T,,6.93,True,-2.0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,4.93
8,2A,,3.85,True,0.0,0,0,-2,0,0,0,1,0,0,1,,3.85
9,2A*+2T*,*,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
10,CSSp3,,2.3,False,0.0,0,0,0,-1,0,0,0,0,-1,0,,2.3
11,2Lo,,1.65,True,0.0,0,0,0,0,0,0,0,0,0,0,,1.65
12,FCCoSp2,,2.5,False,-0.18,0,0,0,-1,-1,-1,-1,0,-1,0,,2.32
13,SlSt1,,1.8,False,0.0,0,0,-1,0,0,-2,0,0,-1,0,,1.8
14,CoSp2,,2.1,False,-0.06,0,-1,0,-1,0,0,0,0,0,0,,2.04
,,,55.75,,,,,,,,,,,,,,48.31
,Program Components,,,,Factor
,Skating Skills  ,,,,2.0,5.75,5.75,5.0,5.5,5.75,5.25,5.5,6.0,5.75,6.5,,5.65
,Transition / Linking Footwork  ,,,,2.0,4.75,5.75,4.5,4.75,5.0,4.75,5.0,5.5,4.25,6.0,,5.0
,Performance / Execution  ,,,,2.0,5.0,5.5,4.25,4.5,5.5,4.75,5.25,5.75,4.5,6.0,,5.2
,Choreography / Composition  ,,,,2.0,5.25,5.5,4.25,5.0,5.0,5.25,5.0,5.5,5.25,6.25,,5.2
,Interpretation  ,,,,2.0,5.25,5.25,4.0,4.5,4.5,4.5,5.0,5.5,4.75,6.0,,4.9
,,,,,,,,,,,,,,,,,51.9
Deduction,Falls,-1.0
