10
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
2,Nathalie PECHALAT / Fabian BOURZAT,FRA,0,58.03,30.2,27.83,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,Ref,Scores of Panel
1,StaLi4,,4.0,False,1.0,2,2,2,2,2,2,2,2,2,1,,5.0
2,NtMiTw4,,3.3,False,0.5,1,2,1,0,1,1,1,1,1,1,,3.8
3,NtMiSt3,,3.8,False,0.5,1,1,1,0,2,1,1,1,1,1,,4.3
4,SlLi4,,4.0,False,0.7,1,2,1,2,1,2,1,2,2,2,,4.7
5,Sp3,,4.0,False,0.6,2,0,1,1,1,1,0,2,2,2,,4.6
6,CiSt3,,7.2,False,0.6,0,2,1,0,2,1,0,1,1,1,,7.8
,,,26.3,,,,,,,,,,,,,,30.2
,Program Components,,,,Factor
,Skating Skills ,,,,0.8,7.25,7.0,7.25,7.25,7.5,7.0,7.75,7.0,6.5,7.0,,7.25
,Linking Footwork / Movement ,,,,0.8,7.0,7.0,7.0,7.25,7.25,6.75,7.25,6.75,6.5,7.25,,7.05
,Performance ,,,,0.6,7.5,7.25,7.25,7.5,7.5,7.0,7.75,7.0,6.5,7.25,,7.35
,Choreography ,,,,0.6,7.75,7.5,7.5,7.75,7.5,7.25,8.0,7.0,7.0,7.25,,7.55
,Interpretation / Timing ,,,,1.0,7.5,7.5,7.5,7.75,7.5,7.25,7.5,7.25,6.75,7.0,,7.45
,,,,,,,,,,,,,,,,,27.83
