10
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
3,Ekaterina BOBROVA / Dmitri SOLOVIEV,RUS,0,52.44,28.3,24.14,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,Ref,Scores of Panel
1,CoSp3,,4.0,False,0.5,2,-1,1,1,1,1,1,1,0,0,,4.5
2,NtMiTw4,,3.3,False,0.0,0,-1,0,0,1,0,-1,0,0,-1,,3.3
3,NtMiSt3,,3.8,False,0.4,1,-1,0,1,1,0,1,1,1,0,,4.2
4,SlLi4,,4.0,False,0.7,2,2,1,2,1,1,2,1,1,1,,4.7
5,SeSt3,,7.2,False,0.0,0,-1,0,0,0,0,0,-1,1,0,,7.2
6,RoLi4,,4.0,False,0.4,2,0,0,1,1,1,0,1,1,0,,4.4
,,,26.3,,,,,,,,,,,,,,28.3
,Program Components,,,,Factor
,Skating Skills ,,,,0.8,6.25,5.75,6.0,6.5,7.0,6.25,7.25,5.25,5.5,5.5,,6.4
,Linking Footwork / Movement ,,,,0.8,5.75,5.25,5.75,6.25,6.75,5.75,6.5,5.0,5.5,5.5,,6.0
,Performance ,,,,0.6,6.5,9.0,6.0,6.5,7.0,6.25,7.0,5.25,5.25,5.75,,6.45
,Choreography ,,,,0.6,6.5,5.5,6.0,6.75,7.0,6.25,7.25,5.5,6.0,5.75,,6.5
,Interpretation / Timing ,,,,1.0,6.25,5.0,5.75,7.0,7.0,6.25,7.5,5.5,5.75,5.75,,6.45
,,,,,,,,,,,,,,,,,24.14
