10
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
5,Joannie ROCHETTE,CAN,0,50.56,27.12,24.44,1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,Ref,Scores of Panel
1,2A,,3.5,False,0.8,1,1,1,0,1,0,1,0,1,1,,4.3
2,3F+COMBO,,5.5,False,-3.0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,,2.5
3,FSSp2,,2.0,False,-0.18,0,0,-1,0,-1,-1,-1,0,0,-1,,1.82
4,3Lz,,6.0,False,0.0,0,-1,0,-2,0,0,0,0,0,0,,6.0
5,LSp2,,1.8,False,0.0,0,0,1,-1,0,0,0,0,0,0,,1.8
6,SlSt2,,2.3,False,0.5,0,0,1,2,1,1,1,1,1,0,,2.8
7,SpSq4,,3.4,False,0.6,1,1,0,1,1,0,1,0,1,1,,4.0
8,CCoSp4,,3.5,False,0.4,1,1,0,1,1,0,2,1,1,0,,3.9
,,,28.0,,,,,,,,,,,,,,27.12
,Program Components,,,,Factor
,Skating Skills ,,,,0.8,6.0,6.5,6.25,6.5,6.5,6.75,6.5,5.75,6.0,7.0,,6.25
,Transition / Linking Footwork ,,,,0.8,6.0,6.0,6.0,5.75,6.25,6.0,6.25,5.5,5.5,6.0,,5.95
,Performance / Execution ,,,,0.8,5.75,6.0,6.5,6.25,6.5,6.5,6.0,5.5,5.5,6.25,,6.05
,Choreography / Composition ,,,,0.8,6.0,6.25,6.25,7.5,6.5,6.25,6.75,5.75,5.75,6.75,,6.15
,Interpretation ,,,,0.8,6.0,6.25,6.0,7.0,6.75,6.5,6.5,5.75,5.5,6.25,,6.15
,,,,,,,,,,,,,,,,,24.44
Deduction,Falls,-1.0
