10
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
9,Yannick PONSERO,FRA,0,121.83,57.93,63.9,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,Ref,Scores of Panel
1,3A,,7.5,False,-1.0,-1,-1,-1,-1,-1,-2,-1,-2,-1,-1,,6.5
2,3T,,4.0,False,0.8,1,1,0,0,1,0,1,0,1,1,,4.8
3,3Lz,,6.0,False,-1.0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,,5.0
4,CCSp4,,3.0,False,0.5,1,1,1,2,0,1,2,1,1,1,,3.5
5,CiSt1,,1.8,False,0.1,0,0,1,1,0,0,0,0,1,0,,1.9
6,2A+2T+2Lo,,6.93,True,0.4,1,1,0,1,1,0,1,0,0,0,,7.33
7,CCoSp4,,3.5,False,0.3,0,2,0,1,0,1,1,1,0,1,,3.8
8,3S+3T,,9.35,True,1.0,1,1,1,1,1,1,1,0,1,0,,10.35
9,2A,,3.85,True,1.0,1,1,1,1,1,0,1,0,1,1,,4.85
10,FSSp3,,2.3,False,0.5,1,2,1,1,0,1,1,0,1,0,,2.8
11,2A+SEQ,,3.08,True,-1.28,-1,-2,-2,-1,-2,-2,-2,-2,-1,-1,,1.8
12,SlSt2,,2.3,False,0.1,0,1,0,0,1,0,1,0,0,0,,2.4
13,3T*,*,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
14,SSp4,,2.4,False,0.5,1,1,1,1,1,0,1,0,1,1,,2.9
,,,56.01,,,,,,,,,,,,,,57.93
,Program Components,,,,Factor
,Skating Skills  ,,,,2.0,7.0,6.5,6.75,6.5,6.5,6.75,6.5,6.5,7.0,6.75,,6.75
,Transition / Linking Footwork  ,,,,2.0,6.5,5.25,6.5,6.25,6.0,5.0,6.0,6.25,6.25,6.75,,6.1
,Performance / Execution  ,,,,2.0,6.25,5.5,6.5,6.5,6.25,6.25,6.25,6.25,6.5,7.0,,6.35
,Choreography / Composition  ,,,,2.0,6.5,5.5,6.75,6.75,6.5,6.0,6.0,6.5,6.75,7.0,,6.4
,Interpretation  ,,,,2.0,6.5,5.5,6.5,6.5,6.25,6.0,6.25,6.25,6.5,7.0,,6.35
,,,,,,,,,,,,,,,,,63.9
