10
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
10,Xiaoyang YU / Chen WANG,CHN,0,43.19,25.9,17.29,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,Ref,Scores of Panel
1,NtMiTw4,,3.3,False,-0.2,-1,-1,0,0,-1,-1,0,0,0,-1,,3.1
2,NtMiSt3,,3.8,False,0.0,-1,0,0,0,0,-1,0,0,0,0,,3.8
3,CuLi4,,4.0,False,0.2,0,0,1,1,0,0,0,1,1,1,,4.2
4,Sp3,,4.0,False,0.0,0,0,0,0,0,0,0,0,0,0,,4.0
5,CiSt2,,6.4,False,0.0,-1,0,0,0,0,0,0,0,0,1,,6.4
6,RoLi4,,4.0,False,0.4,0,1,1,1,1,0,0,1,1,1,,4.4
,,,25.5,,,,,,,,,,,,,,25.9
,Program Components,,,,Factor
,Skating Skills ,,,,0.8,4.0,4.5,5.25,4.75,4.5,4.25,4.75,4.75,4.5,4.5,,4.6
,Linking Footwork / Movement ,,,,0.8,3.75,4.25,4.5,4.75,4.25,4.5,4.5,4.5,4.0,4.25,,4.3
,Performance ,,,,0.6,4.0,4.5,5.0,5.0,4.5,4.5,4.5,4.75,4.25,4.75,,4.5
,Choreography ,,,,0.6,4.0,4.5,5.0,4.75,4.5,5.0,4.75,5.0,5.0,4.5,,4.7
,Interpretation / Timing ,,,,1.0,3.75,4.5,4.75,4.5,4.75,4.75,4.75,4.75,4.75,4.5,,4.65
,,,,,,,,,,,,,,,,,17.29
