Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Kimmie MEISSNER,USA,163.23,1,59.24,2,103.99,2007-10-28,gpusa07
2,Miki ANDO,JPN,161.89,2,56.58,1,105.31,2007-10-28,gpusa07
3,Caroline ZHANG,USA,153.35,3,56.48,3,96.87,2007-10-28,gpusa07
4,Emily HUGHES,USA,140.5,4,47.66,5,92.84,2007-10-28,gpusa07
5,Mira LEUNG,CAN,139.14,6,46.04,4,93.1,2007-10-28,gpusa07
6,Elene GEDEVANISHVILI,GEO,126.06,11,38.3,6,87.76,2007-10-28,gpusa07
7,Alexandra IEVLEVA,RUS,124.84,8,44.78,7,80.06,2007-10-28,gpusa07
8,Mai ASADA,JPN,120.49,5,46.82,9,73.67,2007-10-28,gpusa07
9,Tugba KARADEMIR,TUR,119.26,10,41.58,8,77.68,2007-10-28,gpusa07
10,Valentina MARCHEI,ITA,116.44,9,44.64,10,71.8,2007-10-28,gpusa07
11,Binshu XU,CHN,112.46,7,45.16,11,67.3,2007-10-28,gpusa07
