12
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
9,Alexandra ZARETSKI / Roman ZARETSKI,ISR,0,58.1,32.16,25.94,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,11,12,Ref,Scores of Panel
1,CoSp4,,4.7,False,0.79,2,2,1,1,1,2,2,2,0,2,2,0,,5.49
2,SlLi4,,4.0,False,0.79,2,2,2,0,1,2,1,2,1,1,2,1,,4.79
3,NtMiTw4,,3.3,False,0.5,1,1,1,0,1,2,1,1,0,2,1,1,,3.8
4,NtMiSt4,,4.3,False,0.5,1,1,1,1,0,1,0,1,0,1,1,1,,4.8
5,CiSt4,,8.0,False,0.57,1,0,1,0,0,1,0,1,0,1,1,0,,8.57
6,RoLi4,,4.0,False,0.71,2,1,1,1,1,2,1,2,0,2,2,0,,4.71
,,,28.3,,,,,,,,,,,,,,,,32.16
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,7.0,6.75,6.75,6.75,6.25,6.75,6.5,6.5,6.75,6.75,7.0,7.25,,6.82
,Linking Footwork / Movement  ,,,,0.8,7.5,6.75,6.75,6.5,6.25,6.75,6.25,6.25,6.5,7.0,6.75,6.75,,6.71
,Performance  ,,,,0.6,7.5,7.0,7.0,6.5,6.5,6.75,6.5,6.25,6.5,7.25,7.0,6.75,,6.82
,Choreography  ,,,,0.6,7.5,7.0,7.0,6.75,6.25,7.0,6.75,6.25,6.75,6.5,7.25,6.5,,6.82
,Interpretation / Timing  ,,,,1.0,7.5,7.25,7.0,6.5,6.25,7.0,6.5,6.25,6.5,7.25,7.25,6.75,,6.93
,,,,,,,,,,,,,,,,,,,25.94
