12
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
20,Elena GLEBOVA,EST,0,46.26,25.84,20.42,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,11,12,Ref,Scores of Panel
1,1S,,0.4,False,-0.3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,,0.1
2,SpSq4,,3.4,False,0.14,0,0,1,0,0,0,0,0,1,0,0,0,,3.54
3,3T+3T,,8.0,False,-0.14,0,0,0,-1,0,0,0,0,0,0,-1,0,,7.86
4,CCoSp3,,3.0,False,0.07,1,1,1,0,1,0,0,0,0,0,0,0,,3.07
5,SlSt1,,1.8,False,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,1.8
6,2A,,3.5,False,0.0,-1,0,0,-1,0,-1,0,0,0,0,0,0,,3.5
7,FSSp4,,3.0,False,0.14,1,0,1,-1,0,0,0,0,0,1,1,0,,3.14
8,LSp3,,2.4,False,0.43,0,0,1,1,1,1,1,1,1,1,0,1,,2.83
,,,25.5,,,,,,,,,,,,,,,,25.84
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,5.25,5.5,5.0,5.0,5.0,5.0,5.0,5.25,5.75,5.5,5.25,4.75,,5.21
,Transition / Linking Footwork  ,,,,0.8,4.5,5.0,4.25,4.5,4.75,4.75,4.75,5.0,5.5,5.25,4.75,4.25,,4.79
,Performance / Execution  ,,,,0.8,5.25,5.5,4.75,5.0,5.0,5.0,5.0,5.25,5.5,5.5,5.5,4.75,,5.21
,Choreography / Composition  ,,,,0.8,5.0,5.75,4.75,5.0,4.75,5.0,4.5,5.0,5.75,5.5,5.25,4.75,,5.14
,Interpretation  ,,,,0.8,5.0,5.25,4.75,5.0,5.0,5.25,5.0,5.25,5.5,5.5,5.5,4.75,,5.18
,,,,,,,,,,,,,,,,,,,20.42
