12
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
6,Brian JOUBERT,FRA,0,77.75,41.14,38.61,2.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,11,12,Ref,Scores of Panel
1,4T+3T,,13.0,False,1.29,2,1,1,1,2,1,1,2,1,1,1,2,,14.29
2,3A,,7.5,False,0.14,0,0,0,0,0,1,0,0,0,0,1,1,,7.64
3,3Lz,,6.0,False,-3.0,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,,3.0
4,CSSp3,,2.3,False,0.5,2,2,0,1,1,1,1,1,1,1,1,1,,2.8
5,CiSt3,,3.1,False,0.86,2,2,2,0,1,2,1,1,2,2,2,2,,3.96
6,CCoSp2,,2.5,False,0.57,1,2,1,1,1,1,1,2,1,1,1,1,,3.07
7,SlSt3,,3.1,False,0.71,1,2,1,1,1,2,1,1,2,2,1,2,,3.81
8,FSSp2,,2.0,False,0.57,1,2,1,1,1,1,1,1,1,1,2,1,,2.57
,,,39.5,,,,,,,,,,,,,,,,41.14
,Program Components,,,,Factor
,Skating Skills  ,,,,1.0,7.75,8.0,7.75,8.0,8.0,7.75,7.75,7.75,8.0,7.5,7.75,8.5,,7.86
,Transition / Linking Footwork  ,,,,1.0,7.5,7.5,7.5,7.75,7.5,7.25,7.25,7.25,7.5,6.75,7.5,7.75,,7.43
,Performance / Execution  ,,,,1.0,7.5,8.0,8.0,7.75,8.25,7.75,7.5,7.5,7.75,7.25,8.0,8.0,,7.82
,Choreography / Composition  ,,,,1.0,7.75,8.0,7.75,7.5,7.5,7.5,7.25,7.75,8.0,6.75,7.5,8.25,,7.68
,Interpretation  ,,,,1.0,7.5,8.0,8.0,7.75,8.25,7.5,7.5,7.5,7.75,7.25,7.75,8.25,,7.82
,,,,,,,,,,,,,,,,,,,38.61
Deduction,Music violation,-1.0
Deduction,Falls,-1.0
