12
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
1,Dan ZHANG / Hao ZHANG,CHN,0,74.36,43.5,30.86,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,11,12,Ref,Scores of Panel
1,3LzTw1,,5.0,False,1.74,1,3,3,3,2,2,2,2,2,3,3,3,,6.74
2,3LoTh,,5.0,False,1.4,2,2,3,2,2,2,2,2,1,2,2,2,,6.4
3,3S,,4.5,False,1.57,1,2,1,2,2,2,1,1,1,2,2,2,,6.07
4,PCoSp4,,4.5,False,0.64,1,2,1,1,1,1,1,1,1,1,2,2,,5.14
5,5ALi4,,6.5,False,2.29,2,3,3,2,2,2,2,2,2,2,2,3,,8.79
6,FCCoSp3,,3.0,False,0.86,2,2,2,1,1,2,1,2,1,1,2,2,,3.86
7,SlSt1,,1.8,False,0.5,2,1,0,1,1,1,1,1,1,1,1,1,,2.3
8,BiDs3,,3.2,False,1.0,1,2,2,1,1,1,2,1,1,1,1,2,,4.2
,,,33.5,,,,,,,,,,,,,,,,43.5
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,8.0,8.0,8.0,7.75,7.75,8.0,8.25,7.0,7.5,7.75,8.0,8.25,,7.96
,Transition / Linking Footwork  ,,,,0.8,7.25,7.5,7.75,7.5,7.75,6.75,7.75,6.5,7.5,7.5,7.5,7.75,,7.57
,Performance / Execution  ,,,,0.8,7.5,7.75,7.75,7.5,8.5,7.5,8.25,7.0,7.5,7.5,7.75,8.25,,7.82
,Choreography / Composition  ,,,,0.8,7.5,8.0,7.25,7.5,7.75,7.0,8.0,6.0,7.25,7.5,7.5,8.0,,7.64
,Interpretation  ,,,,0.8,7.75,7.75,7.0,7.5,7.75,7.0,8.0,6.0,7.5,7.25,7.5,8.0,,7.57
,,,,,,,,,,,,,,,,,,,30.86
