9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
10,Ari-Pekka NURMENKARI,FIN,0,66.64,39.54,27.1,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3A,,8.2,False,0.8,1,1,0,2,1,1,0,0,0,,9.0
2,3Lz+3T,,10.0,False,-1.2,-1,-1,-2,-1,-1,-1,-2,-1,-2,,8.8
3,FSSp4,,3.0,False,0.4,1,1,0,1,1,0,1,1,1,,3.4
4,CiSt3,,3.3,False,0.0,0,0,0,2,0,0,0,0,0,,3.3
5,3F,,5.5,False,0.2,-1,0,0,1,0,1,0,1,0,,5.7
6,SlSt2,,2.3,False,0.4,1,1,0,2,1,1,0,1,1,,2.7
7,CCoSp4,,3.5,False,0.2,0,0,0,1,1,0,1,0,1,,3.7
8,CSSp4,,3.0,False,-0.06,-1,0,-1,0,1,0,0,0,0,,2.94
,,,38.8,,,,,,,,,,,,,39.54
,Program Components,,,,Factor
,Skating Skills  ,,,,1.0,5.5,5.5,5.5,5.75,5.25,5.5,6.0,5.25,4.5,,5.55
,Transition / Linking Footwork  ,,,,1.0,5.25,5.0,4.5,5.5,4.75,5.25,5.25,4.75,4.0,,5.1
,Performance / Execution  ,,,,1.0,5.75,5.25,5.25,6.0,5.0,5.5,6.0,5.25,4.5,,5.55
,Choreography / Composition  ,,,,1.0,5.5,5.75,5.0,5.75,5.0,5.25,6.0,5.0,4.25,,5.45
,Interpretation  ,,,,1.0,5.25,5.5,5.0,6.25,5.25,5.5,5.75,5.25,4.5,,5.45
,,,,,,,,,,,,,,,,27.1
