Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Aliona SAVCHENKO / Robin SZOLKOWY,GER,199.07,2,66.64,1,132.43,2009-01-25,ec2009
2,Yuko KAWAGUCHI / Alexander SMIRNOV,RUS,182.77,3,65.38,2,117.39,2009-01-25,ec2009
3,Maria MUKHORTOVA / Maxim TRANKOV,RUS,182.07,1,69.62,4,112.45,2009-01-25,ec2009
4,Tatiana VOLOSOZHAR / Stanislav MOROZOV,UKR,171.34,4,56.2,3,115.14,2009-01-25,ec2009
5,Lubov ILIUSHECHKINA / Nodari MAISURADZE,RUS,147.84,5,52.42,5,95.42,2009-01-25,ec2009
6,Nicole DELLA MONICA / Yannick KOCON,ITA,135.33,8,45.5,6,89.83,2009-01-25,ec2009
7,Erica RISSEEUW / Robert PAXTON,GBR,129.78,10,44.28,7,85.5,2009-01-25,ec2009
8,Maylin HAUSCH / Daniel WENDE,GER,129.67,9,45.2,8,84.47,2009-01-25,ec2009
9,Adeline CANAC / Maximin COIA,FRA,129.06,7,45.9,10,83.16,2009-01-25,ec2009
10,Vanessa JAMES / Yannick BONHEUR,FRA,127.71,12,43.88,9,83.83,2009-01-25,ec2009
11,Stacey KEMP / David KING,GBR,127.47,6,47.98,11,79.49,2009-01-25,ec2009
12,Anais MORAND / Antoine DORSAZ,SUI,120.62,11,43.98,13,76.64,2009-01-25,ec2009
13,Marika ZANFORLIN / Federico DEGLI ESPOSTI,ITA,118.52,15,41.42,12,77.1,2009-01-25,ec2009
14,Maria SERGEJEVA / Ilja GLEBOV,EST,117.0,13,42.38,14,74.62,2009-01-25,ec2009
15,Joanna SULEJ / Mateusz CHRUSCINSKI,POL,114.96,14,41.94,15,73.02,2009-01-25,ec2009
16,Krystyna KLIMCZAK / Janusz KARWETA,POL,112.2,16,39.5,16,72.7,2009-01-25,ec2009
17,Jessica CRENSHAW / Chad TSAGRIS,GRE,108.09,18,36.78,17,71.31,2009-01-25,ec2009
18,Ekaterina KOSTENKO / Roman TALAN,UKR,103.97,17,38.14,18,65.83,2009-01-25,ec2009
19,Gabriela CERMANOVA / Martin HANULAK,SVK,97.21,19,36.76,19,60.45,2009-01-25,ec2009
WD,Ekaterina SOKOLOVA / Fedor SOKOLOV,ISR,36.6,20,36.6,WD,WD,2009-01-25,ec2009
21,Nina IVANOVA / Filip ZALEVSKI,BUL,32.44,21,32.44,DNQ,DNQ,2009-01-25,ec2009
