9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
7,CZISNY Alissa,USA,0,55.62,30.1,26.52,1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3Lz+2T,,7.3,False,-2.0,-2,-2,-2,-2,-2,-2,-2,-2,-2,,5.3
2,3F<,!,1.7,False,-1.0,-3,-3,-3,-3,-3,-3,-3,-3,-3,,0.7
3,SlSt3,,3.3,False,0.6,2,1,1,1,3,1,0,1,1,,3.9
4,FCSp4,,3.2,False,0.6,1,1,2,1,2,0,1,1,1,,3.8
5,2A,,3.5,False,0.0,0,0,0,1,0,1,0,0,2,,3.5
6,SpSq4,,3.4,False,1.8,2,2,2,1,2,2,1,1,2,,5.2
7,CCoSp4,,3.5,False,1.0,2,3,2,2,3,1,1,2,2,,4.5
8,LSp3,,2.4,False,0.8,2,1,2,2,3,2,1,1,2,,3.2
,,,28.3,,,,,,,,,,,,,30.1
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,6.5,7.0,6.75,6.0,7.5,6.75,6.0,6.75,7.5,,6.75
,Transitions / Linking Footwork  ,,,,0.8,6.25,6.75,6.0,6.0,6.75,6.0,5.75,6.5,7.25,,6.3
,Performance / Execution  ,,,,0.8,6.75,6.75,6.25,6.25,7.0,6.5,5.75,6.5,7.25,,6.55
,Choreography / Composition  ,,,,0.8,7.0,7.0,6.75,6.0,7.0,6.5,6.0,6.5,7.5,,6.75
,Interpretation  ,,,,0.8,7.0,7.25,6.25,6.25,7.5,6.75,6.0,6.75,7.5,,6.8
,,,,,,,,,,,,,,,,26.52
Deduction,Falls,-1.0
