9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
24,CONTRERAS Humberto,MEX,0,56.23,26.03,32.2,2.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3S,,4.5,False,-1.8,-1,-2,-1,-1,-1,-2,-2,-2,-2,,2.7
2,3T,,4.0,False,-1.8,-2,-1,-2,-1,-1,-2,-2,-2,-2,,2.2
3,3T+SEQ,,3.2,False,-3.0,-3,-3,-3,-3,-3,-3,-3,-3,-3,,0.2
4,2A,,3.5,False,-1.6,-2,-2,-2,-3,-1,-2,-2,-2,-2,,1.9
5,2A,,3.5,False,-0.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,,2.7
6,CCoSp1,,2.0,False,0.0,0,0,0,1,0,0,1,0,0,,2.0
7,SlSt1,,1.8,False,-0.06,0,0,0,0,0,-1,0,0,-1,,1.74
8,CSSp3,,2.6,False,0.0,0,-1,0,0,0,0,0,0,0,,2.6
9,3Lo,,5.5,True,-2.0,-2,-2,-2,-2,-2,-3,-2,-2,-2,,3.5
10,3S<+SEQ,<,1.14,True,-1.0,-3,-3,-3,-3,-3,-3,-3,-3,-3,,0.14
11,2A,,3.85,True,-1.6,-2,-2,-2,-2,-2,-2,-2,-2,-2,,2.25
12,CiSt1,,1.8,False,0.0,0,0,0,0,0,0,0,0,-1,,1.8
13,FSSp2,,2.3,False,0.0,0,-1,0,0,0,0,0,0,0,,2.3
,,,39.69,,,,,,,,,,,,,26.03
,Program Components,,,,Factor
,Skating Skills  ,,,,2.0,3.75,3.0,3.75,3.25,3.75,3.0,3.5,3.25,3.25,,3.35
,Transitions / Linking Footwork  ,,,,2.0,2.75,2.25,3.25,2.5,3.0,3.25,3.0,3.0,2.5,,2.85
,Performance / Execution  ,,,,2.0,3.75,2.5,4.0,3.0,3.5,3.0,3.75,3.5,3.5,,3.45
,Choreography / Composition  ,,,,2.0,3.25,2.5,3.75,3.0,3.25,3.25,3.5,3.5,2.75,,3.2
,Interpretation  ,,,,2.0,3.25,3.0,4.0,3.25,3.75,3.0,3.5,3.0,3.5,,3.25
,,,,,,,,,,,,,,,,32.2
Deduction,Falls,-2.0
