9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
7,CHIPEUR Vaughn,CAN,0,68.0,38.1,30.9,1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3A,,8.2,False,-4.2,-3,-3,-2,-3,-3,-3,-3,-3,-3,,4.0
2,3Lz+3T,,10.0,False,0.4,-1,1,1,1,0,0,0,0,0,,10.4
3,3F,,5.5,False,1.0,0,1,1,0,0,1,1,1,1,,6.5
4,CCoSp4,,3.5,False,0.2,1,0,0,-1,0,1,1,1,0,,3.7
5,FSSp4,,3.0,False,0.1,0,0,0,0,0,1,1,0,0,,3.1
6,SeSt3,,3.3,False,0.2,1,1,0,0,1,1,0,0,1,,3.5
7,CiSt3,,3.3,False,0.3,0,2,1,0,0,0,1,1,0,,3.6
8,CSSp4,,3.0,False,0.3,1,1,0,1,1,0,1,1,0,,3.3
,,,39.8,,,,,,,,,,,,,38.1
,Program Components,,,,Factor
,Skating Skills  ,,,,1.0,5.75,6.75,6.25,6.0,6.5,6.0,6.25,6.5,5.75,,6.2
,Transitions / Linking Footwork  ,,,,1.0,5.25,6.5,6.25,5.25,6.0,5.5,6.0,6.25,4.75,,5.85
,Performance / Execution  ,,,,1.0,5.25,7.0,6.25,6.5,6.25,6.0,6.5,6.0,5.25,,6.25
,Choreography / Composition  ,,,,1.0,5.75,6.75,6.5,5.75,6.25,5.75,6.25,7.0,5.25,,6.2
,Interpretation  ,,,,1.0,6.0,7.0,6.5,6.25,6.5,6.0,6.5,6.75,5.0,,6.4
,,,,,,,,,,,,,,,,30.9
Deduction,Falls,-1.0
