9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
6,Binshu XU,CHN,0,83.15,46.59,36.56,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3Lz,,6.0,False,-1.0,-1,-2,-2,-1,-1,-1,0,-1,0,,5.0
2,2A+2T,,4.8,False,0.0,0,0,0,0,0,-1,0,0,0,,4.8
3,3Lo,,5.0,False,0.2,0,-1,0,1,0,0,1,0,1,,5.2
4,3S,,4.5,False,0.0,0,0,0,0,0,0,1,0,1,,4.5
5,FCSp2,,2.3,False,0.2,-1,0,0,1,0,1,1,0,0,,2.5
6,3F,,5.5,False,-2.0,-2,-2,-2,-2,-2,-2,-2,-1,-2,,3.5
7,SlSt2,,2.3,False,0.0,0,0,0,0,0,0,0,0,0,,2.3
8,LSp3,,2.4,False,0.7,1,1,2,2,1,2,1,0,2,,3.1
9,3T+1T,,4.84,True,-0.8,-1,0,-1,0,-1,-1,0,-1,0,,4.04
10,SpSq4,,3.4,False,0.6,1,1,1,1,0,0,1,0,1,,4.0
11,2A,,3.85,True,0.0,0,0,0,0,0,0,1,0,0,,3.85
12,CCoSp4,,3.5,False,0.3,2,-1,1,0,1,0,1,-1,1,,3.8
,,,48.39,,,,,,,,,,,,,46.59
,Program Components,,,,Factor
,Skating Skills  ,,,,1.6,5.0,5.0,5.0,5.0,4.5,5.0,5.75,4.5,5.25,,4.9
,Transition / Linking Footwork  ,,,,1.6,4.0,4.75,4.0,4.25,4.0,4.25,5.0,4.25,4.75,,4.15
,Performance / Execution  ,,,,1.6,4.5,5.0,4.25,5.0,4.25,4.5,5.5,4.75,5.5,,4.6
,Choreography / Composition  ,,,,1.6,4.5,5.0,4.0,5.25,4.5,4.75,5.25,4.5,5.25,,4.7
,Interpretation  ,,,,1.6,4.25,4.75,4.0,5.0,4.25,4.5,5.25,4.5,5.25,,4.5
,,,,,,,,,,,,,,,,36.56
