9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
5,Adeline CANAC / Maximin COIA,FRA,0,47.54,27.34,21.2,1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,2LzTw2,,3.5,False,0.3,1,0,1,0,0,1,1,0,1,,3.8
2,3S,,4.5,False,-1.6,-2,-2,-2,-1,-2,-1,-2,-1,-2,,2.9
3,3Li4,,4.0,False,0.3,1,0,1,1,1,1,0,0,1,,4.3
4,3LoTh,,5.0,False,-2.0,-3,-3,-3,-3,-3,-3,-3,-3,-3,,3.0
5,FCCoSp3,,3.0,False,0.0,0,1,1,0,1,0,0,0,0,,3.0
6,SpSq4,,3.4,False,1.0,1,1,1,1,1,2,1,0,1,,4.4
7,FiDs3,,3.2,False,-0.56,-1,-1,0,-1,0,-1,0,0,-2,,2.64
8,PCoSp1,,3.0,False,0.3,1,0,0,0,0,1,1,0,1,,3.3
,,,29.6,,,,,,,,,,,,,27.34
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,5.0,5.5,6.0,5.75,6.0,5.5,5.75,4.75,5.5,,5.45
,Transition / Linking Footwork  ,,,,0.8,4.25,5.25,5.25,5.5,5.5,4.75,5.5,4.25,5.0,,4.95
,Performance / Execution  ,,,,0.8,4.75,5.5,5.25,5.75,5.75,5.25,5.75,4.75,5.75,,5.4
,Choreography / Composition  ,,,,0.8,5.25,5.5,5.5,5.5,5.75,5.25,5.75,4.5,5.5,,5.4
,Interpretation  ,,,,0.8,4.5,5.75,5.0,5.75,5.75,4.75,6.0,4.5,5.75,,5.3
,,,,,,,,,,,,,,,,21.2
Deduction,Falls,-1.0
