10
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
2,Jana KHOKHLOVA / Sergei NOVITSKI,RUS,0,36.19,18.4,17.79,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,Ref,Scores of Panel
1,1S1,,2.3,False,0.6,1,2,1,1,1,2,1,1,1,1,,2.9
2,1S2,,1.8,False,0.5,0,1,2,1,1,1,1,0,2,1,,2.3
3,2S1,,2.9,False,0.6,1,2,1,1,0,1,1,1,0,0,,3.5
4,2S2,,2.3,False,0.5,1,1,2,1,0,1,1,1,1,0,,2.8
5,3S1,,3.4,False,0.42,0,1,1,1,1,0,0,1,0,1,,3.82
6,3S2,,2.8,False,0.28,0,1,1,0,0,1,0,0,1,0,,3.08
,,,15.5,,,,,,,,,,,,,,18.4
,Program Components,,,,Factor
,Skating Skills ,,,,0.75,6.75,7.5,7.25,7.5,7.25,7.25,7.0,7.25,7.5,7.0,,7.2
,Timing ,,,,0.75,6.5,7.25,7.0,7.0,7.0,6.75,7.0,7.0,7.25,6.75,,6.9
,Performance / Execution ,,,,0.5,6.75,7.25,7.5,7.25,7.0,6.75,7.25,7.25,7.5,6.75,,7.05
,Interpretation ,,,,0.5,7.0,7.5,7.5,7.5,6.75,7.5,7.25,7.25,7.25,7.0,,7.35
,,,,,,,,,,,,,,,,,17.79
