9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
11,Emily SAMUELSON / Evan BATES,USA,17,54.97,30.9,24.07,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,STw4,,4.7,False,0.8,2,2,1,1,1,3,2,1,2,,5.5
2,SlLi4,,4.0,False,0.5,1,1,1,2,1,1,1,1,1,,4.5
3,CiSt4,,8.0,False,0.8,1,1,1,1,1,1,1,0,0,,8.8
4,Sp4,,4.7,False,0.2,1,1,0,0,0,-1,1,0,0,,4.9
5,MiStNt3,,6.2,False,1.0,2,1,1,1,1,1,1,0,1,,7.2
6,Li+TRANS,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
,,,27.6,,,,,,,,,,,,,30.9
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,6.25,6.5,7.0,6.25,6.5,6.5,6.5,5.5,6.0,,6.35
,Linking Footwork / Movement  ,,,,0.8,6.5,5.75,6.75,6.25,6.25,6.0,6.0,5.75,5.75,,6.05
,Performance  ,,,,0.6,6.5,6.0,6.75,6.5,6.25,6.5,6.25,6.25,6.25,,6.3
,Choreography  ,,,,0.6,6.75,6.25,7.0,6.5,6.75,6.25,6.25,6.25,6.0,,6.45
,Interpretation / Timing  ,,,,1.0,7.0,6.25,6.75,6.5,6.75,6.75,6.5,5.75,6.25,,6.5
,,,,,,,,,,,,,,,,24.07
