9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
11,Alena LEONOVA,RUS,49,58.18,32.5,25.68,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3F+2T,,6.8,False,0.6,0,0,0,0,0,2,1,1,1,,7.4
2,3Lz,,6.0,False,-0.8,0,0,-1,-1,-1,0,-1,-1,-1,,5.2
3,LSp3,,2.4,False,0.0,0,0,0,1,0,0,-1,0,0,,2.4
4,2A,,3.5,False,1.0,1,1,1,1,0,2,1,1,1,,4.5
5,FSSp3,,2.6,False,0.2,1,0,1,1,0,1,0,0,1,,2.8
6,SpSq3,,3.1,False,0.2,1,0,1,0,1,1,0,0,1,,3.3
7,SlSt3,,3.3,False,0.5,1,1,1,1,1,1,1,0,1,,3.8
8,CCoSp3,,3.0,False,0.1,1,0,0,0,0,1,1,0,0,,3.1
,,,30.7,,,,,,,,,,,,,32.5
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,6.25,7.0,7.0,5.75,7.0,6.5,7.0,7.0,6.5,,6.8
,Transition / Linking Footwork  ,,,,0.8,5.75,5.75,6.5,5.5,6.5,6.5,6.75,5.75,6.25,,6.15
,Performance / Execution  ,,,,0.8,6.5,6.0,6.75,6.0,6.75,6.5,6.75,6.5,7.0,,6.5
,Choreography / Composition  ,,,,0.8,6.25,6.5,6.75,6.0,6.5,6.0,7.0,6.0,6.75,,6.35
,Interpretation  ,,,,0.8,6.25,6.0,6.5,6.0,7.0,6.0,7.0,5.75,6.5,,6.3
,,,,,,,,,,,,,,,,25.68
