9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
1,Carolina KOSTNER,ITA,18,107.66,49.22,59.44,-1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3F+3T,!,9.5,False,-0.6,-1,0,-1,-1,0,-1,0,-1,-1,,8.9
2,3Lz,,6.0,False,0.0,-2,1,0,-1,0,0,1,-1,0,,6.0
3,2A+2T,,4.8,False,1.0,2,1,1,1,1,1,1,0,1,,5.8
4,FCoSp3,,2.5,False,0.1,2,0,0,1,0,0,0,0,1,,2.6
5,SpSq3,,3.1,False,0.8,3,1,2,2,3,2,2,1,1,,3.9
6,1F,,0.55,True,0.0,-2,0,-1,0,1,0,0,0,0,,0.55
7,3Lo,,5.5,True,-3.0,-3,-3,-3,-3,-3,-3,-3,-3,-3,,2.5
8,2A,,3.85,True,-0.16,-1,0,0,0,-2,-1,0,-1,0,,3.69
9,3S+2T,,6.38,True,-0.6,-1,0,-1,-1,-1,0,-1,0,0,,5.78
10,FSSp4,,3.0,False,0.0,0,0,0,0,-1,0,0,0,0,,3.0
11,SlSt3,,3.3,False,0.7,2,1,1,2,2,1,1,1,2,,4.0
12,CCoSp2,,2.5,False,0.0,1,0,0,0,0,0,-1,0,0,,2.5
,,,50.98,,,,,,,,,,,,,49.22
,Program Components,,,,Factor
,Skating Skills  ,,,,1.6,7.75,7.75,7.0,7.5,8.0,7.5,7.5,7.0,7.5,,7.45
,Transition / Linking Footwork  ,,,,1.6,7.5,7.75,6.75,7.25,7.5,7.0,7.25,6.25,7.25,,7.2
,Performance / Execution  ,,,,1.6,7.25,8.0,7.0,7.5,7.75,7.25,7.5,7.0,7.5,,7.45
,Choreography / Composition  ,,,,1.6,7.75,8.0,7.25,7.75,8.0,7.0,7.5,6.25,7.25,,7.55
,Interpretation  ,,,,1.6,7.75,8.0,7.0,7.75,7.25,6.75,7.75,7.0,7.75,,7.5
,,,,,,,,,,,,,,,,59.44
Deduction,Falls,-1.0
