9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
16,Sarah HECKEN,GER,39,46.34,25.02,21.32,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3T+3T,,8.0,False,0.6,1,1,0,1,0,1,0,0,0,,8.6
2,1S,,0.4,False,-0.3,-3,-3,-3,-3,-3,-3,-3,-3,-3,,0.1
3,2A,,3.5,False,-0.48,-1,0,0,-1,0,-1,-1,-1,0,,3.02
4,FSSp2,,2.3,False,0.0,0,0,0,-1,0,0,-1,0,0,,2.3
5,SpSq3,,3.1,False,0.0,1,0,0,0,0,0,0,0,0,,3.1
6,LSp2,,1.9,False,0.0,0,0,0,0,0,0,0,0,0,,1.9
7,SlSt3,,3.3,False,0.2,2,0,1,0,0,0,0,1,1,,3.5
8,CCoSp2,,2.5,False,0.0,-1,0,0,0,0,0,0,0,0,,2.5
,,,25.0,,,,,,,,,,,,,25.02
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,6.5,5.25,6.75,5.5,5.0,6.0,5.5,5.25,5.5,,5.5
,Transition / Linking Footwork  ,,,,0.8,6.25,4.75,7.0,5.0,4.5,5.75,4.75,5.0,5.25,,5.15
,Performance / Execution  ,,,,0.8,6.5,5.0,6.75,5.25,4.75,5.75,5.0,5.25,5.25,,5.3
,Choreography / Composition  ,,,,0.8,6.25,5.25,7.25,5.25,4.75,5.75,5.25,5.0,5.25,,5.3
,Interpretation  ,,,,0.8,6.75,5.0,6.75,5.0,4.75,6.0,5.0,5.5,5.5,,5.4
,,,,,,,,,,,,,,,,21.32
