9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
34,Fleur MAXWELL,LUX,8,30.18,14.38,16.8,-1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3Lo<+COMBO,<,1.5,False,-1.0,-3,-3,-3,-3,-3,-3,-3,-3,-3,,0.5
2,2T,,1.3,False,-1.0,-3,-3,-3,-3,-3,-3,-3,-3,-3,,0.3
3,1A,,0.8,False,-0.5,-3,-3,-3,-3,-3,-3,-3,-3,-3,,0.3
4,FCSp3,,2.8,False,0.2,0,0,1,0,1,1,0,0,-1,,3.0
5,SpSq4,,3.4,False,1.2,1,1,1,2,2,2,3,1,1,,4.6
6,LSp1,,1.5,False,0.04,0,-1,1,1,0,1,0,-1,0,,1.54
7,SlSt1,,1.8,False,0.3,0,0,1,1,1,1,2,1,0,,2.1
8,CCoSp1,,2.0,False,0.04,0,0,1,-2,1,-2,1,0,-1,,2.04
,,,15.1,,,,,,,,,,,,,14.38
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,4.0,4.25,4.5,4.75,4.25,4.0,6.0,4.25,3.5,,4.15
,Transition / Linking Footwork  ,,,,0.8,4.25,4.0,4.25,4.0,4.5,3.75,6.25,3.75,3.0,,4.0
,Performance / Execution  ,,,,0.8,4.0,4.0,4.75,4.5,5.0,4.5,5.5,4.0,3.75,,4.25
,Choreography / Composition  ,,,,0.8,3.75,4.25,4.5,4.5,4.75,4.25,6.0,4.25,3.5,,4.2
,Interpretation  ,,,,0.8,4.25,4.5,4.75,4.75,5.0,4.5,5.75,4.0,3.75,,4.4
,,,,,,,,,,,,,,,,16.8
Deduction,Falls,-1.0
