9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
10,Tomas VERNER,CZE,14,130.43,58.03,73.4,-1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,4T,,9.8,False,-4.8,-3,-3,-3,-3,-3,-3,-3,-3,-3,,5.0
2,4T+SEQ,,7.84,False,-1.6,-1,-2,1,-1,-3,0,-2,-2,-1,,6.24
3,3A,,8.2,False,0.2,0,0,0,1,1,0,1,0,0,,8.4
4,CiSt3,,3.3,False,0.6,1,2,1,2,1,1,2,1,1,,3.9
5,FSSp3,,2.6,False,0.0,0,0,0,0,0,0,0,0,-1,,2.6
6,1A,,0.88,True,0.0,0,0,0,0,0,0,-1,0,0,,0.88
7,3Lz,,6.6,True,0.0,0,0,0,0,0,0,0,0,0,,6.6
8,3F,e,6.05,True,-1.0,-1,-2,-1,-1,-1,-1,-1,-1,0,,5.05
9,3S+3T,,9.35,True,0.0,0,0,0,1,0,0,0,0,0,,9.35
10,1Lo,,0.55,True,-0.24,-3,-3,-2,-2,-3,-2,-3,-3,-2,,0.31
11,FCSSp2,,2.3,False,0.0,0,0,0,0,1,0,-1,0,0,,2.3
12,SlSt3,,3.3,False,0.5,1,1,1,2,1,1,1,1,1,,3.8
13,CCoSp4,,3.5,False,0.1,0,0,0,1,1,0,0,0,0,,3.6
,,,64.27,,,,,,,,,,,,,58.03
,Program Components,,,,Factor
,Skating Skills  ,,,,2.0,7.0,8.25,7.5,7.75,7.5,7.75,7.5,7.25,7.75,,7.65
,Transition / Linking Footwork  ,,,,2.0,6.75,7.0,7.0,7.0,7.25,7.25,7.25,6.75,7.5,,7.1
,Performance / Execution  ,,,,2.0,7.0,6.75,6.75,7.25,7.25,7.5,7.0,6.5,7.75,,7.15
,Choreography / Composition  ,,,,2.0,7.0,7.5,7.25,7.5,7.25,7.75,7.25,6.75,7.5,,7.4
,Interpretation  ,,,,2.0,7.0,7.25,7.25,7.25,7.5,7.75,7.25,6.5,7.75,,7.4
,,,,,,,,,,,,,,,,73.4
Deduction,Falls,-1.0
