ISU European Figure Skating Championships 2010,,,,,
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,
Starting,Total Total,,Total,Total,
Rank Name Nation Number,Segment Element,,Program  Component,Deductions,
"",Score Score,,Score (factored),,
1 Evgeni PLUSHENKO RUS  21,91.30  51.10,,40.20,0.00,
"# Executed Base GOE",The Judges Panel,,,Scores,
Elements Value,(in random order),,,of Panel,
1 4T+3T  13.80  2.00 1 1 2,2 2 2 2,,2 2,15.80,
2 3A  8.20  1.40 2 1 1,1 1 2 2,,2 1,9.60,
3 3Lz  6.00  1.00 1 1 1,1 1 1 1,,3 1,7.00,
4 CCoSp4  3.50  0.80 1 2 2,1 1 1 2,,1 2,4.30,
Info,,,Info,,Info
5 CiSt3  3.30  1.00 1 2 2,2 2 2 2,,2 2,4.30,
6 FSSp4  3.00  0.50 1 2 1,1 1 1 1,,1 1,3.50,
7 SlSt2  2.30  0.70 1 1 2,1 2 1 2,,2 1,3.00,
8 CSSp4  3.00  0.60 2 2 0,1 1 2 1,,1 1,3.60,
43.10,,,,51.10,
Program Components Factor,,,,,
Skating Skills  1.00 8.00 8.00 8.00,8.00 8.50 8.00 8.50,,8.50 8.00,8.10,
Transition / Linking Footwork  1.00 7.50 7.00 7.50,7.50 7.25 6.75 8.25,,8.25 7.50,7.55,
Performance / Execution  1.00 8.50 7.75 8.00,7.75 8.75 8.25 8.50,,8.75 8.25,8.15,
Choreography / Composition  1.00 7.50 8.00 8.25,7.50 8.50 7.75 8.25,,8.50 8.00,8.05,
Interpretation  1.00 8.50 8.00 8.25,8.50 8.75 8.25 8.50,,8.75 8.25,8.35,
Judges Total Program Component Score (factored),,,,40.20,
Deductions:,,,,0.00,
Starting,Total Total,,Total,Total,
Rank Name Nation Number,Segment Element,,Program  Component,Deductions,
"",Score Score,,Score (factored),,
2 Brian JOUBERT FRA  38,88.55  47.80,,40.75,0.00,
"# Executed Base GOE",The Judges Panel,,,Scores,
Elements Value,(in random order),,,of Panel,
1 4T+2T  11.10  1.00 1 1 1,1 1 1 1,,1 0,12.10,
2 3A  8.20  1.60 1 2 2,1 2 2 1,,1 1,9.80,
3 3Lz  6.00  1.80 1 2 2,2 2 2 1,,0 1,7.80,
4 FSSp4  3.00  0.90 1 2 2,2 2 2 1,,2 1,3.90,
5 CiSt2  2.30  1.00 2 2 2,2 2 2 2,,2 2,3.30,
6 CCoSp4  3.50  0.60 1 1 1,1 2 2 1,,1 1,4.10,
7 SlSt2  2.30  1.00 2 2 2,2 3 2 2,,2 1,3.30,
8 CSSp4  3.00  0.50 1 1 0,2 2 1 1,,1 0,3.50,
39.40,,,,47.80,
Program Components Factor,,,,,
Skating Skills  1.00 8.75 8.25 8.25,8.00 8.25 8.50 8.50,,8.50 8.00,8.25,
Transition / Linking Footwork  1.00 8.50 8.00 7.75,7.00 7.75 8.00 8.25,,8.00 7.75,7.85,
Performance / Execution  1.00 8.75 8.25 8.25,8.25 8.50 8.25 8.75,,8.50 8.00,8.30,
Choreography / Composition  1.00 8.50 8.00 8.00,8.00 8.00 8.00 8.50,,8.00 8.25,8.05,
Interpretation  1.00 8.75 8.25 8.25,8.00 8.25 8.50 8.75,,8.75 8.25,8.30,
Judges Total Program Component Score (factored),,,,40.75,
Deductions:,,,,0.00,
Starting,Total Total,,Total,Total,
Rank Name Nation Number,Segment Element,,Program  Component,Deductions,
"",Score Score,,Score (factored),,
3 Yannick PONSERO FRA  31,82.40  46.00,,36.40,0.00,
"# Executed Base GOE",The Judges Panel,,,Scores,
Elements Value,(in random order),,,of Panel,
1 4T+2T  11.10  1.00 1 0 1,1 1 0 1,,1 1,12.10,
2 3A  8.20  1.40 2 1 1,0 2 0 2,,0 2,9.60,
