9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
14,Jessica CRENSHAW / Chad TSAGRIS,GRE,2,78.99,44.03,36.96,-2.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,2LzTw3,,4.0,False,0.3,0,1,-1,0,1,1,1,0,1,,4.3
2,3STh,,4.5,False,-2.0,-3,-3,-2,-3,-3,-3,-3,-3,-3,,2.5
3,2F,,1.7,False,0.0,0,0,1,0,0,0,0,0,-1,,1.7
4,5SLi2,,5.0,False,0.1,1,1,-2,0,1,1,0,0,-1,,5.1
5,BoDs1,,3.0,False,-0.84,-3,-1,-2,-2,0,-2,0,-1,0,,2.16
6,5ALi4,,6.5,False,-0.14,-1,0,-2,0,1,0,0,-1,0,,6.36
7,FCCoSp3,,3.0,False,-0.24,-1,-1,0,-1,-1,-1,0,-1,-1,,2.76
8,SpSq4,,3.4,False,1.0,1,1,1,1,1,1,1,1,0,,4.4
9,3FTh,,6.05,True,-2.0,-3,-3,-3,-3,-3,-3,-3,-3,-3,,4.05
10,2F+2Lo+SEQ,,2.82,True,-0.06,0,0,-1,0,0,0,0,0,-1,,2.76
11,3Li4,,4.4,True,0.1,0,0,0,0,1,1,0,0,0,,4.5
12,PCoSp2,,3.5,False,-0.06,-1,0,0,0,0,0,-1,0,0,,3.44
,,,47.87,,,,,,,,,,,,,44.03
,Program Components,,,,Factor
,Skating Skills  ,,,,1.6,4.25,4.75,4.75,5.0,4.5,4.75,4.25,4.25,5.0,,4.65
,Transition / Linking Footwork  ,,,,1.6,4.0,4.5,4.75,4.75,4.75,4.0,4.25,4.0,5.25,,4.5
,Performance / Execution  ,,,,1.6,4.25,4.75,5.0,4.75,4.75,4.25,4.0,3.75,5.5,,4.6
,Choreography / Composition  ,,,,1.6,4.5,4.5,4.75,5.0,5.0,4.5,4.5,4.25,5.5,,4.75
,Interpretation  ,,,,1.6,4.5,4.75,4.5,4.5,5.0,4.5,4.25,4.25,5.75,,4.6
,,,,,,,,,,,,,,,,36.96
Deduction,Falls,-2.0
